src,dst,weight,highway
0,1,105.564,motorway_link
1,11398,26.53,tertiary
1,11401,74.605,tertiary
2,16238,4.894,trunk
2,18732,18.206,trunk
2,18731,18.421,trunk
3,18731,12.217,trunk_link
3,71383,5.259,footway
3,21251,6.267,footway
3,4,205.281,trunk_link
4,48093,13.932,trunk_link
4,48094,13.36,trunk_link
5,14225,28.574,secondary
5,48094,11.504,trunk_link
5,48103,6.028,secondary
6,71385,10.359,trunk_link
6,18731,38.156,trunk
6,10566,173.967,trunk
7,67647,316.705,motorway_link
7,17,812.878,motorway
7,756,601.933,motorway
8,11405,30.689,tertiary
8,527,41.829,tertiary
8,67647,81.707,motorway_link
9,14492,50.138,tertiary
9,14494,51.447,motorway_link
9,48835,51.003,tertiary
10,63986,83.491,motorway
10,14494,409.092,motorway_link
10,14944,873.91,motorway
11,14944,141.166,motorway
12,14944,380.445,motorway_link
13,63529,34.083,tertiary
13,664,81.898,tertiary
13,21336,3.926,service
14,23786,9.451,residential
14,341,455.39699999999993,residential
14,13303,139.586,footway
15,16,130.142,motorway_link
16,11397,23.671,tertiary
16,40117,31.695,tertiary
17,67916,216.197,motorway_link
17,757,315.052,motorway
18,23785,37.673,motorway_link
18,23784,69.205,motorway_link
18,67916,35.974,motorway_link
19,164,68.679,service
20,756,392.311,motorway_link
20,63124,34.471,motorway_link
20,63126,44.247,motorway_link
21,13994,243.205,motorway_link
21,11160,443.529,motorway
21,63986,550.847,motorway
22,33468,12.064,service
22,23,51.88,residential
22,33455,8.203,secondary
22,807,48.534,secondary
23,807,15.624,residential
23,33470,31.86,residential
23,53989,64.60300000000001,residential
24,11376,185.487,residential
24,64,48.122,residential
24,63,104.583,residential
25,26,32.659,residential
25,53673,63.516,residential
26,27,37.986,residential
27,639,47.7,residential
27,23143,63.67699999999999,residential
28,23143,5.594,residential
28,23152,23.081,residential
28,48760,159.68900000000002,residential
29,170,60.414,secondary
30,493,87.053,residential
30,54488,5.238,residential
30,11355,229.048,residential
31,32,304.528,residential
31,72329,9.208,residential
31,72328,23.409,tertiary
31,541,97.63,tertiary
32,67376,69.5,residential
32,657,106.214,residential
33,67376,8.04,residential
33,42515,61.91,residential
33,110,254.575,residential
34,35,112.027,residential
34,48239,218.14,residential
34,72241,53.809,residential
35,72248,92.53,residential
35,48257,199.448,residential
36,48250,130.422,residential
36,72248,9.146,residential
36,681,189.811,residential
36,72249,6.451,residential
37,61042,6.428,residential
37,48250,6.98,residential
37,48251,9.296,tertiary
37,70952,115.721,tertiary
38,61042,209.07,residential
38,22558,113.363,residential
38,662,62.079,residential
38,70958,217.602,residential
39,70958,7.579,residential
39,38796,34.26,residential
39,70960,91.672,residential
40,177,54.406,residential
41,11370,86.952,residential
41,240,57.455,residential
41,65222,227.911,residential
42,43,51.998,residential
42,11370,169.50099999999998,residential
43,65224,75.53099999999999,residential
43,438,174.27200000000002,residential
44,45,83.212,residential
44,263,77.727,unclassified
44,557,279.572,residential
45,46,120.286,residential
45,392,140.996,residential
46,428,284.494,residential
46,68362,40.749,service
47,48,132.079,residential
48,576,51.024,residential
48,14545,175.352,residential
49,50,120.937,residential
49,633,108.285,residential
49,34961,133.322,residential
50,51,117.09,residential
50,758,101.082,residential
50,68260,112.956,residential
51,565,241.481,tertiary
51,564,100.3,tertiary
52,53,57.695,residential
53,54,49.293000000000006,residential
53,51201,299.44,residential
55,59936,45.977,residential
55,743,147.353,residential
55,56,170.673,residential
56,57,99.512,residential
56,120,102.411,residential
57,58,77.0,residential
57,108,315.451,residential
58,109,293.04,residential
58,59,96.742,residential
59,39100,56.892,residential
59,398,107.249,residential
59,397,105.462,residential
60,39100,66.223,residential
60,42521,53.637,tertiary
60,642,106.925,tertiary
61,62,99.572,residential
62,63,253.403,residential
62,555,143.256,tertiary
63,11374,204.199,residential
63,458,133.061,residential
65,22593,199.935,residential
65,20676,32.331,service
66,34937,15.57,residential
66,22079,107.223,secondary
66,195,140.788,secondary
67,71703,37.138,residential
67,48701,106.318,residential
67,71725,7.137,residential
68,71698,18.98,residential
68,71693,28.35,residential
68,69,82.712,residential
69,65296,26.492,service
70,73184,7.086,residential
70,61127,186.82900000000004,tertiary
70,73164,471.186,tertiary
71,72,14.372,tertiary
71,61127,7.91,tertiary
71,61129,5.784,tertiary
72,14734,392.708,tertiary
72,54131,96.707,tertiary
73,14729,2.258,tertiary
73,61135,5.526,tertiary
73,23148,9.39,residential
74,13410,11.384,tertiary
