id,lon,lat,highway1,highway2,highway3,highway4,highway5
0,-84.3245596,33.7271722,0,0,4,0,0
1,-84.3492193,33.7623362,4,0,0,0,0
2,-84.3489307,33.7604903,3,0,0,0,0
3,-84.3488601,33.7602763,1,4,0,0,0
4,-84.3491721,33.761836,3,0,0,0,0
5,-84.3386598,33.7452729,3,0,0,0,0
6,-84.3346517,33.7440899,1,0,4,0,0
7,-84.3338871,33.7453906,1,0,4,0,0
8,-84.3387487,33.7455423,3,0,0,0,0
9,-84.3276743,33.7398262,1,0,0,0,0
10,-84.323388,33.7264536,0,0,4,0,0
11,-84.3310142,33.7422551,2,0,0,0,0
12,-84.3295914,33.740322,2,0,0,0,0
13,-84.3487672,33.7442268,3,0,0,0,0
14,-84.3456079,33.7456604,3,0,0,0,0
15,-84.306113,33.747225,0,4,0,0,2
16,-84.3066393,33.7473868,0,0,0,0,8
17,-84.2975596,33.7526716,0,0,0,0,6
18,-84.3325482,33.772621,0,0,0,0,4
19,-84.332333,33.772845,0,0,0,0,4
20,-84.332278,33.773177,0,0,0,0,6
21,-84.331695,33.773496,0,0,0,0,6
22,-84.290486,33.7388742,0,2,0,0,0
23,-84.325217,33.749435,0,0,0,0,6
24,-84.3396787,33.7534131,0,0,4,0,4
25,-84.339611,33.750675,0,0,0,0,6
26,-84.3396026,33.7499777,0,0,0,0,6
27,-84.328899,33.730642,0,0,0,0,4
28,-84.345525,33.762905,0,0,0,0,6
29,-84.344327,33.763057,0,0,0,0,6
30,-84.343242,33.763207,0,0,0,0,8
31,-84.3417854,33.7634531,0,0,4,0,4
32,-84.3395023,33.7638448,0,0,0,0,8
33,-84.337088,33.763917,0,0,0,0,6
34,-84.3304293,33.7616737,0,0,0,0,2
35,-84.3480443,33.804555,0,0,0,0,6
36,-84.346717,33.802783,0,0,0,0,6
37,-84.33213,33.737233,0,0,0,2,4
38,-84.331246,33.737373,0,0,0,0,6
39,-84.3333729,33.7318158,0,0,0,0,2
40,-84.3321516,33.7322682,0,0,0,0,6
41,-84.321482,33.759366,0,0,0,0,6
42,-84.320177,33.759442,0,0,0,0,8
43,-84.318911,33.759474,0,0,4,0,2
44,-84.3391659,33.8005445,0,0,0,0,2
45,-84.3388248,33.8009764,0,0,0,0,4
46,-84.34816,33.752417,0,0,0,0,6
47,-84.3464073,33.7519359,0,0,0,0,6
48,-84.3453953,33.7516311,0,0,0,0,6
49,-84.3445661,33.7515663,0,0,0,0,6
50,-84.3435214,33.7515285,0,0,0,0,8
51,-84.3421901,33.7515037,0,0,4,0,2
52,-84.3024728,33.7525945,0,0,0,0,2
53,-84.3013958,33.7525974,0,0,2,0,4
54,-84.2986549,33.7525969,0,0,0,0,8
55,-84.2970392,33.7526627,0,0,0,0,2
56,-84.3451675,33.7565085,0,0,0,0,2
57,-84.3267863,33.7602309,0,4,0,0,2
58,-84.32707,33.761679,0,0,0,0,6
