src,dst,weight,highway
913855,40943041,361.855,motorway
913855,50799371,694.7609999999999,motorway_link
917534,298526371,69.743,primary
917534,298526345,80.628,primary
917599,298525095,100.516,tertiary
917599,298526431,109.479,tertiary
917599,298526449,40.309,tertiary
917881,246998242,53.424,trunk_link
917881,917883,147.115,secondary
917881,246998274,53.254,secondary
917883,267216284,386.674,secondary
917883,1721095909,197.172,tertiary
917883,3774652630,69.2,secondary
918420,1834483160,109.909,secondary
918420,4743881617,41.155,secondary
918420,267110552,19.871,secondary
918437,246862598,10.325,secondary
918437,4715025533,19.961,tertiary
918437,4901704508,405.3330000000001,primary
918437,4715025529,26.641,primary
918447,82591845,71.934,primary
918447,82591846,84.74799999999999,primary
918447,246862636,47.215,primary
918447,269474372,423.411,primary
1112494,1112502,542.927,"['trunk_link', 'trunk']"
1112494,246863076,89.441,trunk_link
1112494,1434836937,64.81,trunk_link
1112502,248015876,227.984,trunk_link
1112502,248015647,336.584,trunk
1112518,8836215183,102.117,trunk_link
1112518,248015662,170.82000000000002,trunk
1112518,248015647,1210.64,trunk
1112545,490255859,261.427,trunk
1533890,246862844,62.518,unclassified
1533895,266923108,48.073,unclassified
1533895,2471188,371.778,unclassified
1533895,252822870,13.762999999999998,unclassified
1533915,252586624,377.552,unclassified
1533915,1533917,68.374,tertiary
1533915,1266342111,113.576,tertiary
1533917,1281695857,87.578,unclassified
1533917,1533926,214.387,tertiary
1533926,3661648185,93.542,tertiary
1533926,252649145,86.67,unclassified
1533935,4030047658,149.843,unclassified
1533935,267143858,140.26899999999998,tertiary
1533935,3574039544,80.162,tertiary
1533967,9377517035,1040.284,secondary
1533967,270056615,137.983,unclassified
1533967,3062871936,140.432,secondary
1533967,297579879,249.43,secondary
1534071,50799371,404.155,motorway_link
1534071,16779635,640.15,motorway_link
1534071,270387825,366.597,motorway_link
1534132,312878856,11.512,tertiary
1534132,26832048,479.055,primary
1534132,268495462,127.501,tertiary
1534132,312878915,301.786,primary
2115576,2337686284,371.05,primary
2115576,6149985991,584.1559999999998,primary
2115576,270406382,184.396,primary
2117487,271202826,1424.2529999999997,unclassified
2119719,5298428853,6.017,tertiary
2119719,271201242,211.274,unclassified
2119719,271202825,241.558,tertiary
2119731,272572467,347.621,unclassified
2119731,41881827,121.119,tertiary
2119731,271199703,329.317,tertiary
2119731,272572598,223.644,unclassified
2119745,2119748,122.481,secondary
2119745,270764658,18.056,secondary
2119745,1719806513,33.065000000000005,secondary
2119748,2119750,35.547,secondary
2119748,299349896,43.089,secondary
2119750,5204598791,122.769,secondary
2119750,299349896,29.432,tertiary
2119835,224528564,75.727,primary
2119835,224528520,61.501,tertiary
2119835,41881915,53.503,primary
2471179,9312381985,497.384,tertiary
2471179,312889003,22.832,tertiary
2471179,4924703865,29.187,tertiary
2471184,2471188,54.158,tertiary
2471184,252584870,64.605,tertiary
2471184,268415949,171.17199999999997,tertiary
2471188,3600054803,13.834,tertiary
2471190,1262348196,122.643,tertiary
2471190,252584865,49.662,tertiary
2471190,3600054803,43.361,tertiary
2471198,4543614450,18.085,tertiary
2471198,1272388913,274.987,tertiary
2471198,4543614454,24.229000000000003,tertiary
2473215,2337686146,422.5460000000001,primary
2473215,253179119,239.393,primary
2473215,253510197,271.932,primary
2473223,246843547,876.3249999999998,primary
2473223,2473225,62.643,primary
2473223,2134644217,339.342,primary
2473225,253179123,349.765,primary
2473225,1270795183,69.16399999999999,primary
2473245,1270802905,232.076,secondary
2473245,7218595139,31.66,secondary
2473245,7030910341,47.178,secondary
2473249,5638510398,10.474,tertiary
2473249,267938224,595.13,unclassified
2473249,267473619,286.463,unclassified
2473249,2491461,579.5730000000001,tertiary
2473267,2473268,163.93,unclassified
2473267,267476928,136.943,unclassified
2473267,2491461,171.339,unclassified
2473268,267477552,24.545,unclassified
2473268,267474876,176.09,tertiary
2473268,4420802007,197.66100000000003,tertiary
2473273,41881845,50.411,tertiary
2473273,268454236,53.665,tertiary
2473273,297544454,41.748000000000005,unclassified
2473286,866655877,16.348,unclassified
2473286,267210207,381.3320000000001,primary
2473286,246843570,268.175,primary
2491461,267474876,166.53900000000002,tertiary
2491461,267473904,320.199,unclassified
4520180,246862917,160.534,unclassified
4520180,252715185,24.805,unclassified
4520180,266923108,276.486,unclassified
6714792,253179120,51.28,secondary
6714792,1675137608,43.372,primary
6714792,272244933,63.852,secondary
6714792,6714795,131.41,primary
6714795,246843224,204.065,primary
6714795,1270802905,355.23999999999995,secondary
6714799,246843224,554.472,unclassified
6714799,253510227,253.41400000000004,tertiary
6714799,253510241,233.923,unclassified
6714799,5631279094,88.076,tertiary
6714802,2117470146,18.453,tertiary
6714802,41687394,138.62900000000002,tertiary
6714802,253253176,43.918,tertiary
6714806,267471233,284.723,tertiary
6714806,267473624,264.749,tertiary
6714806,5695339569,210.584,unclassified
8435977,268226094,65.302,tertiary
8435979,300447350,125.49100000000004,unclassified
8435979,3109724416,262.587,unclassified
8435983,300432537,125.095,unclassified
8435983,300432733,155.798,primary
8435983,14392515,459.069,primary
8435985,8435987,297.397,unclassified
8435985,300432537,111.097,unclassified
8435985,14392519,351.327,unclassified
