src,dst,weight,highway
0,6196,104.165,secondary
0,4369,88.685,residential
1,553,141.141,secondary
1,0,220.387,secondary
2,4367,95.038,residential
2,3,132.98100000000002,primary
3,1604,130.842,primary
3,2026,14.475,secondary
3,3505,79.84700000000001,secondary
4,8318,12.776,secondary
4,6995,29.72,secondary
5,7850,253.829,primary
6,1557,135.735,primary
6,1614,42.535,primary_link
7,5990,37.588,primary
8,5993,63.308,primary
8,3510,330.394,residential
9,6522,18.811,secondary
9,762,29.66,primary
10,7399,5.828,secondary
11,3452,291.773,residential
11,2247,141.83100000000002,residential
11,7527,734.6410000000001,residential
11,12,284.6,residential
12,3450,110.092,residential
12,13,70.33,residential
12,11,284.6,residential
13,3457,64.752,residential
13,7670,344.231,residential
13,12,70.33,residential
14,1430,182.311,secondary
14,1424,19.626,primary
15,941,34.234,residential
16,3118,119.206,residential
16,2455,118.626,primary
17,1765,182.864,primary
17,5897,166.616,residential
18,6766,13.113,tertiary
18,5917,50.106,tertiary
18,2376,93.716,residential
19,2377,108.522,residential
19,5917,190.309,tertiary
19,6024,151.3,tertiary
20,1463,90.15,residential
20,6024,43.339,tertiary
20,5884,27.284,tertiary
20,2639,184.161,tertiary
21,2464,158.509,tertiary
21,2372,71.17999999999999,residential
21,1448,24.662,tertiary
22,244,155.478,residential
22,3313,46.788,secondary
22,3274,65.153,secondary
22,243,199.645,residential
23,6516,13.29,primary
23,1004,215.978,primary
24,6076,190.68,residential
24,3211,151.25,residential
24,2355,81.864,residential
25,26,105.684,residential
26,4370,79.385,residential
26,25,105.684,residential
26,27,190.967,residential
27,28,99.684,residential
28,4371,22.797,tertiary
28,27,99.684,residential
28,8871,16.261000000000003,residential
29,4456,112.364,residential
30,5870,162.52700000000002,residential
30,6412,106.515,primary
31,8348,101.67700000000004,residential
32,5809,7.959,secondary
32,8358,76.043,residential
32,8362,412.334,secondary
33,5810,228.056,residential
33,721,63.94700000000001,secondary
33,5783,58.744,secondary
34,4553,124.921,tertiary
35,4454,75.841,tertiary
35,7749,132.791,residential
35,1936,117.931,residential
35,4366,52.309000000000005,tertiary
36,5002,100.111,residential
36,6683,92.086,residential
36,7857,54.566,residential
37,7590,119.843,tertiary
37,6523,41.239,tertiary
38,2417,60.021,primary
38,2416,84.032,tertiary
39,6992,19.283,primary
39,2505,45.80199999999999,motorway_link
40,1170,177.053,primary
41,65,407.9079999999999,tertiary
41,4749,150.47,residential
41,50,148.972,tertiary
41,4754,301.079,tertiary
42,6542,260.826,secondary
42,50,483.784,tertiary
42,525,560.496,secondary
42,320,372.46400000000006,secondary
43,105,205.44,motorway_link
43,92,699.2159999999999,motorway
44,308,418.12,motorway_link
44,7947,316.30100000000004,motorway_link
45,79,724.806,motorway
46,45,399.105,motorway_link
46,7947,320.991,motorway_link
47,120,1784.0929999999998,motorway
48,57,528.739,motorway
49,94,1017.628,motorway
50,109,285.07300000000004,motorway_link
50,42,483.7840000000001,tertiary
50,41,148.972,tertiary
51,8661,33.982,motorway_link
51,377,43.845,residential
51,828,286.3810000000001,secondary
51,111,52.34,secondary
52,368,17.69,secondary
52,362,345.328,secondary
52,217,22.207,residential
53,43,924.879,motorway
54,95,359.168,motorway_link
54,53,236.738,motorway
55,203,102.438,tertiary
55,204,55.522000000000006,secondary
56,102,158.685,motorway_link
56,49,163.382,motorway_link
57,6536,143.379,motorway_link
57,96,180.227,motorway
58,101,233.303,motorway_link
58,59,31.41,motorway_link
59,5064,532.537,unclassified
59,58,31.41,motorway_link
59,7779,113.346,secondary
60,62,274.092,secondary
60,7779,32.478,secondary
61,8905,10.359,residential
61,62,38.631,secondary
61,8902,30.463,secondary
62,61,38.631,secondary
62,60,274.092,secondary
63,87,341.833,motorway_link
64,63,59.891,motorway_link
65,4784,182.694,residential
65,41,407.9079999999999,tertiary
65,800,161.80200000000002,tertiary
66,131,515.971,motorway_link
66,7250,977.889,motorway
67,8467,324.098,motorway_link
68,7250,335.91299999999995,motorway_link
69,283,722.7510000000001,motorway_link
70,7690,4888.301999999999,motorway
71,77,152.067,motorway_link
72,2786,408.22,motorway_link
72,7746,292.113,motorway_link
73,7121,541.906,motorway_link
73,71,399.3330000000001,motorway_link
74,7747,420.334,motorway_link
74,282,727.212,motorway_link
75,69,318.259,motorway_link
75,5982,419.9969999999999,motorway_link
