id,lon,lat,highway1,highway2,highway3,highway4,highway5
0,8.6926734,50.1112099,0,0,2,0,2
1,8.6930162,50.1131784,0,0,4,0,0
2,8.6882506,50.1113816,0,2,0,0,3
3,8.6881031,50.1125649,0,2,4,0,0
4,8.6924735,50.1093318,0,0,4,0,0
5,8.6926546,50.1091209,0,2,1,0,0
6,8.7456279,50.1248489,0,3,0,0,0
7,8.7167817,50.123691,0,2,0,0,1
8,8.7150554,50.124197,0,2,0,0,1
9,8.7133254,50.1247165,0,2,1,0,0
10,8.7100471,50.1255722,0,0,3,0,0
11,8.7064419,50.1337682,0,0,0,0,8
12,8.7055782,50.1314515,0,0,0,0,6
13,8.7054635,50.1308235,0,0,0,0,6
14,8.6839107,50.1316235,0,3,1,0,0
15,8.6846119,50.1282049,0,0,0,0,3
16,8.6946288,50.1310813,0,2,0,0,1
17,8.6958663,50.1339143,0,2,0,0,2
18,8.6513973,50.1225419,0,0,0,4,2
19,8.6488159,50.1239204,0,0,0,4,2
20,8.646809,50.1250955,0,0,0,6,2
21,8.6465341,50.1282238,0,0,0,4,1
22,8.6597896,50.1190662,0,0,4,0,4
23,8.6608191,50.1094845,0,5,0,0,0
24,8.6794918,50.1124421,0,0,0,0,5
25,8.6813572,50.1095557,0,0,0,0,2
26,8.6799632,50.1092331,0,0,0,0,5
27,8.6775151,50.1087399,0,0,0,0,3
28,8.6769503,50.1095489,0,0,0,2,4
29,8.6907385,50.1060664,0,0,0,0,2
30,8.692164,50.1056312,0,2,0,0,1
31,8.6897538,50.1065504,0,0,0,0,2
32,8.7309369,50.1004497,0,0,4,0,2
33,8.7249675,50.1001521,0,0,4,0,1
34,8.69234,50.1029291,0,0,0,2,1
35,8.6893895,50.1025197,0,0,0,4,2
36,8.685018,50.1010451,0,0,0,0,7
37,8.6862779,50.1013595,0,0,0,4,1
38,8.7235633,50.1593477,0,2,0,1,0
39,8.7061022,50.1459266,1,2,0,0,0
40,8.7036727,50.1431632,1,2,0,0,0
41,8.5985732,50.1110016,0,0,0,6,2
42,8.6069484,50.1125687,0,0,6,2,0
43,8.5923375,50.1156646,3,0,0,0,0
44,8.5952209,50.1168107,3,0,0,0,0
45,8.5981411,50.115718,3,0,0,0,0
46,8.5955464,50.1149706,3,0,0,0,0
47,8.5975382,50.1170613,3,0,0,0,0
48,8.6049238,50.1145431,3,0,0,0,0
49,8.6025188,50.114235,3,0,0,0,0
50,8.6005171,50.111489,1,0,0,4,0
51,8.5825063,50.1238857,2,0,4,0,2
52,8.5724553,50.1240493,0,0,4,0,1
53,8.5828922,50.1211126,3,0,0,0,0
54,8.5809996,50.1228598,3,0,0,0,0
55,8.5975164,50.1228172,0,0,2,1,0
56,8.6046426,50.1147858,3,0,0,0,0
57,8.6122054,50.1151641,3,0,0,0,0
58,8.6103506,50.1160835,4,0,0,0,0
59,8.6101553,50.1158312,2,0,2,2,0
60,8.6097874,50.1146544,0,0,5,0,0
61,8.6141098,50.1142453,1,0,4,0,2
62,8.6135703,50.1142761,1,0,4,0,0
63,8.6264713,50.1165241,3,0,0,0,0
64,8.6272964,50.1164249,3,0,0,0,0
65,8.5997478,50.1075969,0,0,0,4,2
66,8.6163315,50.0933454,3,0,0,0,0
67,8.6184247,50.0907751,3,0,0,0,0
68,8.6172278,50.0875844,3,0,0,0,0
69,8.6098301,50.0524121,3,0,0,0,0
70,8.6532214,50.0598996,3,0,0,0,0
71,8.6050647,50.0531311,3,0,0,0,0
72,8.603249,50.0520674,3,0,0,0,0
73,8.6049854,50.0537425,3,0,0,0,0
74,8.6057658,50.0569047,3,0,0,0,0
75,8.6053799,50.0525625,3,0,0,0,0
76,8.5962545,50.0530185,3,0,0,0,0
77,8.6029398,50.0532233,3,0,0,0,0
78,8.5993044,50.0528801,3,0,0,0,0
79,8.6020436,50.1097,3,0,0,0,0
80,8.5959543,50.1190392,3,0,0,0,0
