src,dst,weight,highway
0,1,84.317,residential
0,7468,42.107,residential
1,5473,84.214,residential
2,3,113.698,residential
2,355,77.055,residential
2,1408,78.726,residential
4,9897,133.579,residential
4,34053,48.748,residential
4,27904,44.322,residential
5,3452,54.86,residential
5,34057,27.343,residential
5,34053,27.31,residential
6,9898,132.856,residential
6,34056,10.475,residential
6,34057,49.827,residential
7,12573,55.576,residential
7,8,78.17,residential
7,34056,65.916,residential
8,4286,163.019,residential
8,7885,177.715,residential
9,10,128.176,residential
9,10956,77.804,secondary
9,44172,13.056,secondary
11,12,73.08800000000001,residential
11,5065,93.708,residential
12,2867,49.524,residential
12,13,128.994,residential
13,2399,166.36600000000004,residential
14,15,147.001,unclassified
14,47947,96.198,unclassified
14,60901,52.652,unclassified
15,47943,81.375,tertiary
15,46914,68.284,tertiary
15,16,161.17000000000002,unclassified
16,17,46.322,residential
16,49319,3.238,residential
17,18,99.411,residential
17,45623,51.471,residential
18,19,99.862,residential
18,49316,56.611,residential
18,49318,50.171,residential
19,20,98.739,residential
19,46333,57.024,residential
19,82,199.18,residential
20,46334,55.178,residential
20,45709,6.894,service
20,21,119.369,residential
21,49238,40.913,residential
21,50625,122.941,residential
21,46205,52.632,service
22,23,100.115,residential
22,49239,32.107,residential
22,49303,52.206,residential
22,49238,79.672,residential
23,24,97.513,residential
23,42902,56.433,residential
23,49304,51.874,residential
24,20671,100.789,residential
24,54767,53.503,residential
24,20890,70.562,residential
25,26,74.309,residential
25,9309,267.404,residential
26,27,36.274,residential
26,11972,246.906,residential
27,28,38.149,residential
27,6013,54.124,residential
28,29,183.439,residential
28,9140,74.69200000000001,residential
29,56189,56.21,residential
30,20424,135.836,residential
30,8312,79.10900000000001,residential
30,8311,85.521,residential
31,32,51.19500000000001,residential
31,5998,158.92600000000002,residential
32,33,12.077,residential
32,10701,49.583,residential
33,5997,141.923,residential
34,42989,18.551,tertiary
34,32703,33.681,tertiary
34,35,309.232,residential
35,9420,86.034,residential
36,37,143.62599999999998,residential
36,1687,206.343,residential
37,9421,84.871,residential
37,10919,103.816,residential
38,11780,92.976,tertiary
38,11268,85.391,tertiary
38,50542,132.641,tertiary
39,26800,21.321,track
39,26775,782.205,track
39,203,269.964,track
40,201,42.886,track
40,41,97.836,track
40,26775,151.508,track
41,26838,304.484,track
41,201,73.92099999999999,track
42,43,78.616,residential
42,2307,78.393,residential
42,3907,219.259,residential
42,4731,189.643,residential
43,13263,201.428,residential
43,3571,198.292,residential
44,369,54.486,residential
44,3572,198.294,residential
44,11887,201.429,residential
45,55900,83.9,residential
46,47,77.737,residential
46,2307,285.523,residential
47,4276,163.026,residential
48,49,56.884,residential
48,31189,54.864,service
48,9962,165.962,tertiary
48,26063,191.769,tertiary
49,8170,78.282,residential
49,13113,125.78,residential
49,12744,150.512,residential
50,83,16.291,secondary
50,39278,289.959,motorway_link
50,22986,76.685,secondary
50,50392,12.84,residential
51,18018,895.7239999999999,motorway
51,13796,906.146,motorway
51,39278,512.9159999999999,motorway_link
52,13991,449.646,motorway
52,56323,341.23,motorway_link
52,12166,452.874,motorway
53,17924,80.963,motorway_link
53,384,46.545,motorway_link
53,56324,19.45,motorway_link
54,334,502.663,motorway_link
55,58,1247.54,motorway
55,56,470.295,motorway_link
55,13803,1232.285,motorway
56,21005,87.062,motorway_link
57,39281,210.557,motorway_link
57,21315,69.95,motorway_link
57,21325,89.317,motorway_link
58,13981,1042.788,motorway
58,56301,224.201,motorway_link
59,56492,70.693,motorway_link
59,58141,46.839,motorway_link
60,61,74.52,motorway_link
60,21239,91.807,motorway_link
60,56492,87.459,motorway_link
61,21239,38.44,primary
61,25765,18.773,motorway_link
61,21268,83.412,primary
62,14042,37.765,motorway
62,63,247.34,motorway_link
62,6245,236.214,motorway
63,184,226.641,motorway_link
63,247,471.727,motorway_link
64,21422,211.805,motorway_link
64,28107,641.853,motorway_link
64,12164,341.031,motorway_link
65,13917,345.558,motorway
65,66,201.601,motorway_link
65,10507,167.465,motorway
66,38448,97.989,motorway_link
67,23190,18.657,motorway_link
67,38446,43.12,primary
67,38447,52.364,motorway_link
67,58190,119.284,primary
68,23189,19.191,motorway_link
68,58190,79.361,primary
68,97,8.939,secondary
69,38255,85.577,motorway_link
69,20431,97.417,motorway_link
69,13887,318.3310000000001,motorway_link
70,71,54.52,residential
70,32355,75.004,residential
70,11279,55.515,residential
72,204,77.793,track
72,73,306.657,track
72,26800,842.73,track
73,21558,176.868,track
73,76,442.385,track
74,75,225.398,track
74,21559,68.18900000000001,track
74,203,475.348,track
75,203,474.271,track
75,244,581.852,track
77,50055,33.625,service
77,5394,224.352,primary
77,18086,211.161,primary
78,49908,121.6,service
79,21158,8.533,primary
79,20429,53.439,motorway_link
79,20428,22.582,motorway_link
79,43774,10.138,primary
80,4279,145.649,residential
81,3842,76.506,residential
81,3180,219.091,residential
82,45674,11.587,service
82,4492,100.719,unclassified
83,54151,49.61,secondary
83,50393,15.176,residential
83,54150,62.795,motorway_link
84,85,316.695,motorway_link
84,6230,936.0019999999998,motorway
84,18056,314.973,motorway
85,86,28.702,motorway_link
86,87,33.103,motorway_link
87,20760,47.215,motorway_link
87,20759,62.798,motorway_link
88,89,73.85,motorway_link
88,58376,54.532,motorway_link
89,21318,83.332,motorway_link
89,21316,107.69299999999998,motorway_link
90,39282,159.211,motorway_link
90,21321,97.406,motorway_link
90,21323,77.149,motorway_link
91,13798,296.661,motorway_link
91,39282,97.04,motorway_link
92,93,58.163,residential
92,25822,52.595,residential
92,94,87.931,residential
94,10160,56.437,residential
94,95,55.853,residential
96,38455,54.296,motorway_link
96,21278,505.13900000000007,motorway_link
97,23184,19.396,motorway_link
97,38405,5.331,primary
98,56465,384.834,motorway_link
98,21243,378.428,motorway
98,256,395.979,motorway
99,17742,78.962,motorway_link
99,17741,74.119,motorway_link
99,56465,81.621,motorway_link
100,17736,23.175,secondary
100,18070,16.691,motorway_link
100,17737,40.141,motorway_link
100,17739,30.116,secondary
101,18680,60.634,residential
101,54750,9.118,residential
102,56315,200.35100000000003,motorway_link
102,20436,53.12500000000001,motorway_link
103,4550,204.328,residential
103,42861,203.598,residential
103,32373,31.091,tertiary
103,19102,54.928,tertiary
104,18214,108.382,secondary
104,21338,293.58,secondary
104,19049,11.349,secondary
104,27941,62.05500000000001,secondary
105,16936,153.557,motorway_link
105,21340,94.021,motorway_link
105,57272,58.765,motorway_link
106,18100,19.324,motorway
106,14005,72.05,motorway
107,26978,71.553,service
108,26942,29.914,service
108,47631,41.142,tertiary
108,12191,109.894,tertiary
109,13796,665.704,motorway
109,110,761.5859999999999,motorway_link
109,21245,488.542,motorway
110,58196,36.899,primary
110,58195,8.823,primary
111,25623,18.008,residential
111,6667,400.888,secondary
111,10101,202.371,secondary
112,113,139.055,motorway_link
112,13771,224.208,motorway_link
113,17916,205.851,motorway_link
114,12249,113.802,tertiary
114,9542,56.493,tertiary
114,44277,26.686,residential
114,44276,27.304,residential
115,12437,33.097,residential
115,5837,101.821,residential
115,5115,109.611,residential
115,116,54.709,residential
116,4571,63.069,residential
116,4570,73.551,residential
117,118,206.962,residential
117,2436,52.01,residential
117,2480,216.954,tertiary
117,2479,417.468,tertiary
118,119,201.308,residential
118,3657,46.77,residential
119,335,46.225,residential
119,380,185.94700000000003,residential
120,18055,235.885,motorway
120,16945,558.173,motorway_link
120,45062,45.296,motorway
121,58029,34.447,motorway_link
121,21235,104.272,motorway_link
121,21249,100.631,motorway_link
122,13668,145.74,motorway_link
122,21250,112.54399999999998,motorway_link
122,39020,52.332,motorway_link
123,9464,112.993,residential
123,5218,99.433,residential
124,19987,52.995,residential
124,62366,9.256,track
124,17173,200.338,residential
125,21089,57.612,residential
125,21087,39.259,residential
125,21083,237.861,residential
126,50057,201.686,track
126,49922,179.68099999999998,track
126,61996,225.528,track
127,1211,406.001,track
127,61994,365.746,track
127,50059,404.0,track
127,61987,601.4939999999999,track
128,61999,103.515,track
128,51314,56.367,residential
128,51315,50.272,residential
128,447,208.83,residential
129,38822,11.273,primary
129,38820,50.146,service
129,20639,20.059,service
129,58585,23.483,primary
130,13776,136.847,motorway_link
130,17385,217.804,motorway_link
131,132,34.216,motorway_link
131,6224,33.287,motorway
131,14038,511.608,motorway
132,56321,211.489,motorway_link
133,6230,374.686,motorway_link
133,20757,126.634,motorway_link
133,57829,52.542,motorway_link
134,13767,89.591,secondary
134,18070,31.445,secondary
135,32428,23.915,residential
135,20570,99.208,residential
135,32430,137.403,residential
136,5196,35.628,residential
137,353,178.978,track
138,237,46.27,motorway_link
138,23928,79.244,motorway_link
138,45382,55.532,motorway_link
139,6233,107.343,motorway
139,6232,33.487,motorway
140,60407,80.376,motorway_link
140,18133,40.008,motorway_link
141,26392,57.339,motorway_link
141,60407,180.871,motorway_link
142,56325,120.926,motorway
142,46063,166.312,motorway_link
142,17378,48.582,motorway
143,18755,55.993,residential
143,11822,54.446,residential
143,4313,134.9,residential
144,13772,376.527,motorway_link
144,4190,368.487,motorway
144,39018,364.795,motorway_link
144,4191,235.485,motorway
145,3919,115.571,residential
145,61978,97.743,track
146,6220,399.881,motorway
146,6219,502.355,motorway
146,39309,366.782,motorway_link
147,58172,28.58,primary
147,36203,55.397,primary
148,25258,30.404,track
148,51085,182.64,primary
148,5390,211.097,primary
149,2097,129.216,residential
149,2620,116.378,residential
149,1622,184.297,residential
150,8017,80.28700000000002,residential
150,151,37.957,residential
150,4572,75.954,residential
151,1941,70.474,residential
151,7410,81.989,residential
152,153,9.249,residential
152,2866,60.39,residential
152,10835,84.88199999999999,residential
153,2863,85.75,residential
153,11491,73.389,residential
154,4063,213.167,tertiary
154,53446,15.605,tertiary
154,50571,110.773,tertiary
154,30623,109.211,tertiary
155,156,47.381,residential
155,12549,36.174,secondary
155,36924,2.636,secondary
156,4140,44.206,residential
156,6383,49.121,residential
157,5183,88.643,residential
157,20866,22.51,residential
157,5182,221.037,residential
158,159,14.261,residential
158,3664,152.11700000000002,residential
158,29436,79.589,residential
158,494,893.587,residential
160,24821,10.486,tertiary
160,56298,95.741,tertiary
160,5293,234.35299999999995,tertiary
160,998,153.913,tertiary
161,14087,87.893,primary
161,57829,64.333,motorway_link
161,20757,43.289,primary
161,20760,17.809,motorway_link
162,163,48.515,residential
162,4314,35.298,residential
162,4313,58.689,residential
164,165,51.323,residential
164,4313,50.474,residential
164,5256,131.351,residential
166,31210,98.853,residential
167,168,54.747,residential
167,11280,55.054,residential
167,8376,150.155,track
169,170,56.118,residential
169,8375,100.198,residential
169,1099,103.689,residential
171,35419,9.684,secondary
172,56384,368.537,motorway_link
172,20246,494.4339999999999,motorway
172,6242,398.379,motorway
173,60145,43.606,service
173,43442,11.66,service
173,40101,83.678,tertiary
173,43440,94.97,tertiary
174,49741,108.413,residential
174,19724,40.356,residential
174,10068,146.886,residential
175,38643,4.184,residential
175,38639,8.958,residential
175,2775,146.679,busway
175,38637,146.913,busway
