id,lon,lat,highway
0,-115.2576616,36.150817,"[2, 0, 0]"
1,-115.2586,36.150788,"[2, 0, 0]"
2,-115.2490946,36.2242051,"[3, 0, 0]"
3,-115.2503621,36.2242037,"[1, 0, 0]"
4,-115.101562,36.181438,"[3, 0, 0]"
5,-115.101561,36.182122,"[3, 0, 0]"
6,-115.101563,36.182816,"[3, 0, 0]"
7,-115.101564,36.183503,"[3, 0, 0]"
8,-115.101566,36.184206,"[3, 0, 0]"
9,-115.2239121,36.1690483,"[3, 0, 0]"
10,-115.22534,36.169047,"[1, 0, 0]"
11,-115.263065,36.213468,"[2, 0, 0]"
12,-115.263039,36.212818,"[3, 0, 0]"
13,-115.263041,36.211667,"[2, 0, 0]"
14,-115.156979,36.153629,"[0, 0, 3]"
15,-115.1571111,36.1523113,"[2, 0, 2]"
16,-115.1572559,36.1508666,"[2, 0, 1]"
17,-115.157771,36.15089,"[3, 0, 0]"
18,-115.157862,36.149999,"[4, 0, 0]"
19,-115.157954,36.149104,"[4, 0, 0]"
20,-115.158044,36.148219,"[3, 1, 0]"
21,-115.1586864,36.147367,"[3, 1, 0]"
22,-115.1582395,36.1464414,"[4, 0, 0]"
23,-115.158313,36.145543,"[4, 0, 0]"
24,-115.158402,36.144669,"[4, 0, 0]"
25,-115.331041,36.168766,"[2, 0, 0]"
26,-115.331228,36.168115,"[3, 0, 0]"
27,-115.33135,36.167804,"[3, 0, 0]"
28,-115.3315,36.167483,"[3, 0, 0]"
29,-115.3321137,36.1659303,"[2, 0, 0]"
30,-115.305734,36.155319,"[3, 0, 0]"
31,-115.258942,36.270692,"[2, 0, 0]"
32,-115.258785,36.271116,"[3, 0, 0]"
33,-115.258722,36.271212,"[2, 0, 0]"
34,-115.129575,36.151652,"[3, 0, 0]"
35,-115.129501,36.148878,"[2, 0, 0]"
36,-115.129508,36.146502,"[2, 0, 0]"
37,-115.129457,36.14522,"[3, 0, 0]"
38,-115.183468,36.151656,"[3, 0, 0]"
39,-115.389847,36.191456,"[0, 3, 0]"
40,-115.3948657,36.1984419,"[0, 3, 0]"
41,-115.395151,36.199288,"[0, 3, 0]"
42,-115.290107,36.312079,"[4, 0, 0]"
43,-115.290111,36.311372,"[3, 0, 0]"
44,-115.290115,36.310712,"[3, 0, 0]"
45,-115.2419151,36.1567435,"[1, 0, 0]"
46,-115.2932785,36.3127607,"[2, 0, 0]"
47,-115.2932744,36.3134598,"[2, 0, 0]"
48,-115.2277958,36.2465739,"[3, 1, 0]"
49,-115.227847,36.246064,"[4, 0, 0]"
50,-115.242038,36.1977963,"[4, 0, 0]"
51,-115.2444117,36.2036327,"[3, 0, 0]"
52,-115.174232,36.1404876,"[3, 0, 0]"
53,-115.170708,36.143677,"[3, 0, 0]"
54,-115.1669196,36.1438788,"[1, 0, 0]"
55,-115.2469167,36.2464491,"[3, 0, 0]"
56,-115.2476561,36.2422825,"[2, 0, 0]"
57,-115.2480676,36.2397972,"[3, 0, 0]"
58,-115.2470459,36.2352302,"[3, 0, 0]"
59,-115.2459323,36.2160875,"[2, 0, 0]"
60,-115.2455121,36.2174688,"[3, 0, 0]"
61,-115.2454884,36.2181387,"[4, 0, 0]"
62,-115.1498868,36.1746084,"[3, 0, 0]"
63,-115.1524438,36.1737795,"[3, 0, 0]"
64,-115.1574684,36.1704379,"[3, 0, 0]"
65,-115.2912852,36.1780926,"[3, 0, 0]"
66,-115.2892978,36.1773089,"[2, 0, 0]"
67,-115.2872971,36.1770922,"[4, 0, 0]"
68,-115.2873615,36.1788779,"[3, 0, 0]"
69,-115.1936755,36.1747939,"[3, 0, 0]"
70,-115.3039416,36.2650007,"[3, 0, 0]"
71,-115.3033335,36.2649982,"[1, 0, 0]"
72,-115.393713,36.198325,"[0, 3, 0]"
73,-115.3908023,36.1969645,"[0, 3, 0]"
74,-115.3831551,36.1894886,"[0, 3, 0]"
75,-115.383232,36.187688,"[0, 3, 0]"
76,-115.387947,36.194116,"[0, 1, 0]"
77,-115.3767044,36.3144576,"[2, 1, 0]"
78,-115.3765418,36.3187763,"[0, 1, 0]"
79,-115.2060586,36.1738986,"[4, 0, 0]"
80,-115.127835,36.153708,"[1, 0, 0]"
81,-115.127755,36.152359,"[2, 0, 0]"
82,-115.155741,36.14898,"[1, 1, 1]"
83,-115.242057,36.1976506,"[4, 0, 0]"
84,-115.142493,36.1748929,"[3, 0, 0]"
85,-115.139308,36.17376,"[2, 0, 0]"
86,-115.138997,36.1737,"[2, 0, 0]"
87,-115.1386528,36.1735931,"[3, 0, 0]"
88,-115.2458396,36.2390108,"[2, 0, 0]"
89,-115.2456479,36.2396567,"[3, 0, 0]"
90,-115.2455994,36.2412395,"[3, 0, 0]"
91,-115.2463269,36.2434665,"[2, 0, 0]"
92,-115.285627,36.2768081,"[3, 0, 0]"
93,-115.2862754,36.2768272,"[1, 0, 0]"
94,-115.285653,36.2760176,"[3, 0, 0]"
95,-115.286276,36.2760118,"[1, 0, 0]"
96,-115.2861572,36.1789808,"[2, 0, 0]"
97,-115.2873663,36.1789582,"[3, 0, 0]"
98,-115.254465,36.178347,"[3, 0, 0]"
99,-115.259067,36.180044,"[3, 0, 0]"
100,-115.2599371,36.1779745,"[4, 0, 0]"
101,-115.0928474,36.1697526,"[2, 0, 0]"
102,-115.2459705,36.1958083,"[2, 0, 0]"
