src,dst,weight,highway
118352772,118352774,43.404,residential
118352772,118352778,75.089,residential
118352772,118615969,44.729,residential
118352774,118352782,75.075,residential
118352774,118667729,44.569,residential
118352778,118352782,42.829,residential
118352778,118615969,205.866,residential
118352782,118555415,44.865,residential
118352790,118352816,154.604,residential
118352790,119016865,84.721,residential
118354088,118354108,290.9,residential
118354088,9605416230,282.745,residential
118354088,118968087,75.084,residential
118354108,118354133,254.552,residential
118354108,118656099,305.776,tertiary
118354108,9605416230,88.523,tertiary
118354133,118653926,330.331,residential
118354133,118816084,94.807,residential
118354175,118354259,365.97,residential
118354175,118750892,189.8,residential
118354259,118750971,267.021,residential
118354387,118866698,42.833,residential
118354387,118354428,276.033,residential
118354387,118690241,128.30399999999997,residential
118354428,118354430,109.092,residential
118354428,118690241,117.882,residential
118354430,118354434,144.299,residential
118354430,118591374,183.648,residential
118354434,118852929,39.417,residential
118354434,118852936,87.987,residential
118354444,118354453,48.158,residential
118354444,119017452,183.21,residential
118354444,118872557,81.058,residential
118354466,118354468,184.885,residential
118354468,118873265,159.109,residential
118354468,118873263,40.153,residential
118354479,118354480,39.327,residential
118354479,118703603,148.12200000000004,residential
118354479,118600704,68.773,residential
118354480,118354510,210.84,residential
118354480,119020710,133.02100000000002,residential
118354510,118891433,31.606,residential
118354510,118354522,92.831,residential
118354522,118354592,98.313,residential
118354522,118985151,381.802,residential
118354536,118354592,374.679,residential
118354536,118735013,58.747,tertiary
118354536,118592520,101.688,tertiary
118354592,118985151,257.42299999999994,residential
118354898,118354921,163.341,residential
118354921,118354927,13.588,residential
118354921,118523550,20.029,residential
118354927,118523550,17.06,primary
118354927,118582128,420.273,primary
118354955,259863373,174.369,residential
118354955,118589594,884.3820000000001,secondary
118354955,260006944,213.547,secondary
118355022,118597808,98.603,secondary
118355022,118597824,106.263,secondary
118355022,118541620,150.228,secondary_link
118355270,118541576,514.699,secondary
118355270,118754478,2480.269,secondary
118355270,3850015706,517.906,secondary
118356510,118528168,22.192,residential
118356516,118356518,20.161,residential
118356518,118356905,121.301,residential
118356518,6990180556,111.03900000000002,residential
118356880,6990180556,502.19700000000006,residential
118356880,118362727,52.122,secondary
118356880,118786605,114.452,secondary
118356880,118884962,69.202,secondary
118356905,682388479,333.56800000000004,tertiary
118356905,4670131553,114.484,tertiary
118357227,118357230,101.2,residential
118357227,118766589,72.468,tertiary
118357227,118647923,176.13799999999998,tertiary
118359149,118620887,42.375,residential
118360033,4780209788,729.279,motorway
118360033,118360065,276.189,motorway_link
118360033,118360138,847.3539999999999,motorway
118360065,118360078,54.766,motorway_link
118360065,118549088,38.768,motorway_link
118360078,118549088,40.761,secondary
118360078,118581640,56.74900000000001,secondary
118360138,118360197,597.7169999999998,motorway_link
118360138,118470670,2964.112,motorway
118360197,118360205,33.052,motorway_link
118360197,118532196,19.099,motorway_link
118360205,118581389,67.318,secondary
118360205,118532196,30.513,secondary
118360264,118680902,101.144,residential
118360264,118948770,160.624,residential
118360264,118948260,118.141,residential
118360596,1912719023,57.56399999999999,tertiary
118360596,118990210,56.293,tertiary
118360939,118788835,61.498,tertiary
118360939,118677862,90.123,residential
118360939,118788841,102.181,tertiary
118361096,1635684060,18.085,primary
118361096,1635684058,24.179,primary_link
118361096,118421265,95.999,primary
118361096,1635684072,298.50100000000003,motorway_link
118361164,118361218,518.367,motorway_link
118361164,118474071,692.49,motorway
118361164,118906784,700.694,motorway
118361218,118642009,433.93500000000006,motorway
118361218,118461583,900.5810000000001,motorway_link
118361406,118361490,345.451,residential
118361406,118868285,445.91300000000007,residential
118361406,118561472,78.87299999999999,secondary
118361406,118860195,160.714,secondary
118361563,1635950749,879.089,motorway
118361563,118361571,240.103,motorway_link
118361563,118534023,532.024,motorway
118361571,118361582,36.543,motorway_link
118361571,118531595,42.873000000000005,motorway_link
118361582,1635950694,61.28399999999999,tertiary
118361582,118531595,25.267,tertiary
118361582,118361600,33.298,motorway_link
118361600,118531595,43.081,motorway_link
118361600,118534023,222.825,motorway_link
118361610,118913093,83.99700000000001,residential
118361711,118715334,72.089,secondary
118361711,118361753,218.857,residential
118361711,118707641,108.945,unclassified
118361711,118715341,337.27599999999995,secondary
118361753,118583155,233.14900000000003,residential
118361753,118707641,229.005,tertiary
118361795,118723970,93.76,residential
118361795,447404629,163.825,residential
118361795,118968293,86.81700000000001,residential
118361801,118436368,334.865,motorway_link
118361801,1635950792,680.439,motorway
118361801,118527033,271.996,motorway
118361937,118777943,103.706,residential
118361937,118584959,99.326,residential
118361937,118680541,108.41,residential
118362031,118362150,32.399,secondary
118362031,1912718931,48.69199999999999,secondary_link
118362031,118631384,40.196,secondary
118362031,1912718925,51.045,motorway_link
118362150,1912718931,33.877,secondary
118362150,118384343,102.872,secondary
118362150,1912718925,37.268,motorway_link
