id,lon,lat,highway1,highway2,highway3,highway4,highway5
0,-92.4120231,34.766347,0,0,0,0,6
1,-92.412498,34.76636,0,0,0,0,6
2,-92.4120474,34.765672,0,0,0,0,6
3,-92.412516,34.765685,0,0,0,0,6
4,-92.418118,34.775499,0,0,0,0,4
5,-92.417041,34.776094,0,0,0,0,2
6,-92.3472695,34.7465365,0,0,0,0,6
7,-92.3502201,34.7462568,0,0,4,0,4
8,-92.3529795,34.7460464,0,0,0,0,6
9,-92.342972,34.728502,0,0,0,0,4
10,-92.34411,34.729541,0,0,0,0,4
11,-92.437857,34.755586,0,0,0,0,6
12,-92.438701,34.753735,0,0,0,0,6
13,-92.437937,34.752981,0,0,0,0,6
14,-92.437472,34.751805,0,0,0,0,6
15,-92.405348,34.789905,0,0,0,0,6
16,-92.405418,34.790325,0,0,0,0,2
17,-92.3678905,34.6520611,0,0,0,0,2
18,-92.3699113,34.6520955,0,0,0,0,6
19,-92.346406,34.767517,0,0,0,0,6
20,-92.346511,34.767174,0,0,0,0,6
21,-92.346044,34.765369,0,0,0,0,6
22,-92.346176,34.764543,0,0,0,0,6
23,-92.343052,34.762199,0,0,4,0,2
24,-92.345762,34.763741,0,0,0,0,6
25,-92.392647,34.693688,0,0,0,0,2
26,-92.391815,34.692575,0,0,0,0,6
27,-92.3916824,34.6925217,4,0,0,0,2
28,-92.2290986,34.7216219,0,4,0,0,2
29,-92.224002,34.720374,0,5,0,0,0
30,-92.2184486,34.7281269,0,4,0,0,0
31,-92.388947,34.670641,0,0,0,0,2
32,-92.381006,34.672703,0,0,0,0,2
33,-92.381019,34.672884,0,0,0,0,6
34,-92.3846114,34.6703214,0,6,0,0,2
35,-92.379693,34.672857,0,0,4,0,2
36,-92.254646,34.7418956,0,0,4,0,2
37,-92.254683,34.740986,0,0,0,0,2
38,-92.314713,34.738924,0,0,0,0,2
39,-92.4074521,34.6749019,3,0,0,0,0
40,-92.408232,34.677217,3,0,0,0,0
41,-92.408811,34.677221,1,2,0,0,0
42,-92.40625,34.682456,3,0,0,0,0
43,-92.4087098,34.6776383,3,0,0,0,0
44,-92.4087997,34.6773519,1,2,0,0,0
45,-92.323128,34.771751,0,0,0,0,6
46,-92.273075,34.737404,0,0,3,0,0
47,-92.3102757,34.7550608,0,0,4,0,2
48,-92.2749099,34.7381752,4,0,0,0,0
49,-92.398662,34.663614,3,0,0,0,0
50,-92.403501,34.664547,3,0,0,0,0
51,-92.338343,34.66889,0,4,0,0,4
52,-92.338833,34.666251,0,0,0,0,2
53,-92.331329,34.744817,3,0,0,0,0
54,-92.333953,34.744781,3,0,0,0,0
55,-92.3343451,34.7448158,2,0,4,0,0
56,-92.334705,34.744803,3,0,0,0,0
57,-92.333919,34.662329,0,0,0,0,2
58,-92.289999,34.748554,0,4,0,2,2
59,-92.2921417,34.7485957,0,0,2,0,4
60,-92.4580268,34.8007796,0,0,0,0,6
61,-92.309392,34.744009,3,0,0,0,0
62,-92.3072521,34.7327285,0,0,0,0,6
63,-92.343789,34.679623,1,5,0,0,0
64,-92.3438092,34.6793321,1,5,0,0,0
65,-92.3843914,34.669889,0,5,0,0,0
66,-92.3832703,34.669439,0,2,1,0,0
67,-92.4088681,34.7953083,0,0,0,0,6
68,-92.407478,34.795035,0,0,0,0,6
69,-92.40721,34.794909,0,0,0,0,6
70,-92.3400993,34.7175317,2,1,0,0,0
71,-92.4037276,34.6643278,3,0,0,0,0
