src,dst,weight,highway
0,14943,446.58,motorway
1,26796,99.502,motorway_link
1,18742,502.639,motorway
1,14943,384.576,motorway
2,26864,108.352,motorway_link
2,3,651.372,motorway
2,12061,992.813,motorway
3,4,1236.763,motorway
3,26866,102.614,motorway_link
4,622,751.7049999999999,motorway
4,634,438.513,motorway_link
5,415,294.201,trunk
5,404,197.272,trunk_link
5,621,157.54700000000005,trunk
6,623,644.075,motorway
6,644,610.0940000000002,motorway
7,389,66.925,trunk_link
7,28723,400.083,trunk
7,419,253.303,trunk
8,1792,36.432,trunk
8,22137,121.278,trunk_link
8,28027,155.614,trunk
9,38839,105.396,primary_link
9,1932,82.759,trunk
9,32088,26.916,trunk
10,1949,12.796,tertiary
10,10122,22.491,tertiary
10,42787,309.598,trunk
10,3186,234.598,trunk
11,646,370.358,motorway_link
11,644,282.194,motorway
11,20965,635.826,motorway
12,1967,13.024,residential
12,1968,69.967,residential
12,39891,96.917,trunk
12,31116,30.558,trunk
13,2050,11.586,residential
13,34173,37.998,trunk
13,28607,34.081,residential
13,34171,15.221,trunk
14,2065,11.324,residential
14,2054,125.006,trunk
14,39639,14.023,residential
14,34166,13.221,trunk
15,2081,66.176,residential
15,34164,7.005,trunk
15,39646,146.30200000000002,trunk
16,19494,363.523,cycleway
16,19514,11.142,residential
16,15758,64.661,unclassified
17,34194,188.63200000000003,trunk_link
17,35923,20.036,primary
17,28470,8.075,primary
17,19494,81.894,service
18,34200,7.939,primary
18,34246,6.764,primary
19,643,278.54900000000004,motorway
19,20,613.59,motorway
20,6606,289.367,motorway
21,14942,451.08,motorway
22,14942,421.943,motorway
22,974,538.51,motorway_link
22,18741,476.5940000000001,motorway
23,12058,785.7180000000001,motorway
23,612,366.046,motorway_link
23,615,954.917,motorway
24,14945,702.357,motorway
24,635,431.448,motorway_link
24,623,960.263,motorway
25,23704,240.04,motorway
25,15557,251.292,motorway_link
25,16469,1109.0389999999998,motorway
26,37,418.016,motorway
26,390,428.427,motorway_link
26,3013,450.533,motorway
27,3010,257.08,motorway
27,638,263.12300000000005,motorway_link
27,12194,508.643,motorway
28,3015,117.69,motorway
28,3020,67.319,motorway
29,30,306.26,motorway
29,666,212.755,motorway_link
29,3019,217.771,motorway
30,3582,145.85,motorway
31,420,128.86900000000003,motorway
31,3581,149.137,motorway
32,3581,257.952,motorway
32,34,300.761,motorway
33,35,298.783,motorway
33,3582,261.967,motorway
34,20968,909.208,motorway
35,36,825.034,motorway
36,38476,37.019,motorway_link
