id,lon,lat,highway
0,-2.3134756,53.3573599,"[1, 0, 0]"
1,-2.3014783,53.359347,"[3, 0, 0]"
2,-2.2909552,53.3717169,"[3, 0, 0]"
3,-2.2851227,53.3764076,"[3, 0, 0]"
4,-2.2757415,53.3857918,"[3, 0, 0]"
5,-2.2682892,53.4021403,"[3, 0, 0]"
6,-2.2641499,53.3977769,"[2, 0, 0]"
7,-2.2666474,53.410992,"[3, 0, 0]"
8,-2.2621003,53.4178529,"[3, 0, 0]"
9,-2.2575362,53.4236156,"[3, 0, 0]"
10,-2.2523318,53.4286573,"[4, 0, 0]"
11,-2.2513053,53.3955857,"[3, 0, 0]"
12,-2.2452471,53.4357778,"[4, 0, 0]"
13,-2.2450205,53.4533872,"[4, 0, 0]"
14,-2.2450442,53.4562601,"[4, 0, 0]"
15,-2.2450142,53.4577753,"[3, 0, 0]"
16,-2.2451872,53.4640264,"[1, 0, 2]"
17,-2.2462118,53.4679343,"[3, 1, 0]"
18,-2.2466475,53.4709657,"[2, 0, 0]"
19,-2.2553708,53.3962312,"[2, 0, 0]"
20,-2.2641447,53.3978588,"[2, 0, 0]"
21,-2.3134367,53.3571992,"[1, 0, 0]"
22,-2.3008794,53.3593683,"[3, 0, 0]"
23,-2.2906716,53.3717299,"[3, 0, 0]"
24,-2.2754591,53.3857459,"[3, 0, 0]"
25,-2.2303065,53.5396407,"[3, 0, 0]"
26,-2.2747647,53.4142176,"[3, 0, 0]"
27,-2.271807,53.4142827,"[3, 0, 0]"
28,-2.2628351,53.4137451,"[2, 0, 0]"
29,-2.2586276,53.4134114,"[3, 0, 0]"
30,-2.2547218,53.4119505,"[2, 0, 0]"
31,-2.2549528,53.4118803,"[2, 0, 0]"
32,-2.2512689,53.4089853,"[2, 0, 0]"
33,-2.2510446,53.4090405,"[2, 0, 0]"
34,-2.2491495,53.4065937,"[2, 0, 0]"
35,-2.2489408,53.4066641,"[2, 0, 0]"
36,-2.2419289,53.4006079,"[3, 0, 0]"
37,-2.2807741,53.4153,"[1, 0, 0]"
38,-2.2356113,53.4684722,"[4, 0, 0]"
39,-2.2405403,53.4739439,"[3, 0, 0]"
40,-2.2380009,53.4711147,"[3, 0, 1]"
41,-2.2401879,53.4775249,"[4, 0, 0]"
42,-2.2409794,53.4779903,"[2, 2, 0]"
43,-2.2348605,53.4717832,"[3, 0, 0]"
44,-2.2294494,53.4671096,"[3, 0, 1]"
45,-2.2234345,53.46204,"[3, 0, 0]"
46,-2.2213037,53.4602134,"[3, 0, 0]"
47,-2.2278592,53.4820722,"[3, 0, 0]"
48,-2.2545161,53.4792737,"[3, 0, 1]"
49,-2.2495709,53.4783098,"[4, 0, 0]"
50,-2.2223186,53.4518886,"[3, 0, 0]"
51,-2.2226525,53.4524709,"[3, 0, 0]"
52,-2.2218334,53.4525292,"[1, 0, 1]"
53,-2.2208078,53.4521807,"[3, 0, 0]"
54,-2.2180261,53.4526022,"[3, 0, 0]"
55,-2.2184963,53.453008,"[3, 0, 0]"
56,-2.2184146,53.4533463,"[3, 0, 0]"
57,-2.2152757,53.4535994,"[1, 0, 0]"
58,-2.2166331,53.4527119,"[3, 0, 0]"
59,-2.2139768,53.4532958,"[3, 0, 0]"
60,-2.2114507,53.4538542,"[4, 0, 1]"
61,-2.2144837,53.4555158,"[4, 0, 0]"
62,-2.2162931,53.4552271,"[4, 0, 0]"
63,-2.2148855,53.4543331,"[4, 0, 0]"
64,-2.2155156,53.4541604,"[3, 0, 0]"
65,-2.2159049,53.4540965,"[1, 0, 1]"
66,-2.2175824,53.4550927,"[3, 0, 0]"
67,-2.219177,53.4548953,"[3, 0, 0]"
68,-2.2205901,53.4544399,"[4, 0, 0]"
69,-2.2218544,53.454033,"[3, 0, 0]"
70,-2.2225033,53.4541579,"[3, 0, 0]"
71,-2.2227626,53.4537424,"[3, 0, 0]"
72,-2.2219338,53.4536496,"[3, 0, 0]"
73,-2.2231308,53.4531383,"[3, 0, 0]"
74,-2.2238954,53.4537805,"[3, 0, 0]"
75,-2.224727,53.4544966,"[3, 0, 0]"
76,-2.2231244,53.4548467,"[2, 0, 0]"
77,-2.222814,53.454576,"[3, 0, 0]"
78,-2.2213452,53.4548936,"[3, 0, 0]"
79,-2.2218211,53.4565432,"[2, 1, 0]"
80,-2.222625,53.4564107,"[0, 1, 1]"
81,-2.2254179,53.4559328,"[3, 0, 0]"
82,-2.2247798,53.4560929,"[3, 0, 0]"
83,-2.2243171,53.4561978,"[3, 0, 0]"
84,-2.223609,53.4563099,"[1, 0, 1]"
85,-2.225198,53.4568521,"[1, 0, 0]"
86,-2.2172686,53.4543034,"[3, 0, 0]"
87,-2.2166791,53.4540378,"[1, 0, 0]"
88,-2.2193385,53.4539544,"[3, 0, 0]"
89,-2.2196442,53.4539114,"[3, 0, 0]"
90,-2.2197183,53.4541356,"[3, 0, 0]"
91,-2.220075,53.4540914,"[1, 0, 0]"
92,-2.2191972,53.4536372,"[3, 0, 0]"
93,-2.2248923,53.4573283,"[2, 1, 0]"
94,-2.2204016,53.4535036,"[3, 0, 0]"
95,-2.2189648,53.4577115,"[4, 0, 0]"
96,-2.220521,53.4575361,"[3, 0, 0]"
97,-2.222098,53.4576907,"[3, 0, 0]"
98,-2.2221208,53.4574306,"[2, 0, 0]"
99,-2.2251827,53.4580109,"[3, 1, 0]"
100,-2.2266453,53.4576413,"[3, 0, 0]"
101,-2.2248821,53.4575762,"[3, 0, 1]"
102,-2.2263368,53.4572357,"[3, 0, 0]"
103,-2.2220738,53.4514318,"[3, 0, 0]"
104,-2.2201725,53.4487905,"[3, 0, 0]"
105,-2.2182485,53.4466998,"[3, 0, 0]"
106,-2.2179605,53.4460494,"[2, 1, 0]"
107,-2.2183708,53.4441238,"[3, 0, 0]"
108,-2.2184769,53.4436672,"[3, 0, 0]"
109,-2.2216017,53.4383578,"[2, 0, 0]"
110,-2.2210802,53.4388466,"[3, 0, 0]"
111,-2.2185155,53.4432128,"[3, 0, 0]"
112,-2.2220046,53.4380805,"[4, 0, 0]"
113,-2.2234685,53.4370987,"[3, 0, 0]"
114,-2.2249188,53.4361816,"[4, 0, 0]"
115,-2.2261981,53.4356804,"[3, 0, 0]"
116,-2.2269705,53.435388,"[3, 0, 0]"
117,-2.2272893,53.4351981,"[3, 0, 0]"
118,-2.2289665,53.4331828,"[4, 0, 0]"
119,-2.2295443,53.4327178,"[2, 0, 1]"
120,-2.2615362,53.4754538,"[4, 0, 0]"
121,-2.2614515,53.475776,"[3, 0, 0]"
122,-2.2614359,53.4758858,"[2, 0, 0]"
123,-2.2613544,53.4763629,"[4, 0, 0]"
124,-2.2612268,53.4751811,"[3, 0, 0]"
125,-2.2603638,53.4765297,"[2, 0, 2]"
126,-2.2590931,53.477242,"[2, 0, 1]"
127,-2.2580642,53.477077,"[3, 0, 0]"
128,-2.2569182,53.4768796,"[3, 0, 0]"
129,-2.2589167,53.4755962,"[3, 0, 0]"
130,-2.2593161,53.4759385,"[2, 0, 1]"
131,-2.2543709,53.4764741,"[3, 0, 0]"
132,-2.2541878,53.4764497,"[3, 0, 0]"
133,-2.254513,53.4760636,"[3, 0, 0]"
134,-2.254834,53.4756266,"[4, 0, 0]"
135,-2.2551775,53.4753343,"[2, 0, 1]"
136,-2.2544812,53.4754666,"[2, 0, 1]"
137,-2.2560005,53.4763475,"[1, 0, 1]"
138,-2.2538868,53.4758556,"[2, 0, 0]"
139,-2.2545244,53.4759582,"[3, 0, 0]"
140,-2.2536204,53.4763529,"[3, 0, 0]"
141,-2.2561732,53.4794761,"[0, 0, 3]"
142,-2.2616406,53.4767678,"[1, 0, 0]"
143,-2.2614971,53.4767838,"[2, 0, 0]"
144,-2.2464971,53.488316,"[3, 0, 0]"
145,-2.2458235,53.4884214,"[4, 0, 0]"
146,-2.2413563,53.4890917,"[4, 0, 0]"
147,-2.2420621,53.4892921,"[3, 0, 0]"
148,-2.2448735,53.4886057,"[2, 0, 0]"
149,-2.2603116,53.4739188,"[2, 0, 0]"
150,-2.2599319,53.4735279,"[3, 0, 0]"
151,-2.2605577,53.4738432,"[2, 0, 1]"
152,-2.2488675,53.4705723,"[2, 0, 0]"
153,-2.2488439,53.4706515,"[2, 0, 0]"
154,-2.2416581,53.4708688,"[3, 0, 0]"
