src,dst,weight,highway
33295049,33369407,100.067,residential
33295049,33295073,99.358,residential
33295049,33369328,201.309,tertiary
33295049,33295086,201.375,tertiary
33295073,34548947,98.57,residential
33295073,33295095,201.382,residential
33295073,33803022,200.639,residential
33295086,33525125,99.753,residential
33295086,33295095,99.045,residential
33295086,33369344,200.048,tertiary
33295095,33371439,200.05400000000003,residential
33295095,33295097,99.125,residential
33295097,34572476,102.127,residential
33295097,33333944,200.618,tertiary
33295097,34548947,201.05400000000003,tertiary
33295121,33544566,119.37,tertiary
33295121,1399967258,124.322,tertiary
33295121,33808647,9.898,tertiary
33295396,33802486,63.813,residential
33295396,33295432,251.26300000000003,residential
33295396,34388060,85.87100000000001,residential
33295408,34658488,110.306,residential
33295408,34635774,95.056,secondary
33295408,33369521,127.424,secondary
33295424,34198656,221.775,residential
33295424,33295462,151.76000000000002,residential
33295424,33295425,100.508,tertiary
33295424,33295438,100.752,tertiary
33295425,33841666,207.862,residential
33295425,33802849,220.245,residential
33295425,34186075,98.781,tertiary
33295431,33422617,55.492,residential
33295431,33417575,108.886,residential
33295431,33295435,126.707,residential
33295432,33352228,143.237,"['tertiary', 'residential']"
33295432,34388060,204.916,residential
33295435,33298375,140.849,residential
33295435,33297962,42.591,residential
33295437,33295496,201.8,residential
33295437,33295473,93.516,residential
33295437,33295439,94.891,residential
33295438,33295463,111.757,residential
33295438,33368641,239.436,residential
33295438,33369705,104.833,tertiary
33295439,33520569,201.73,residential
33295455,33423171,120.981,residential
33295455,33520632,120.426,residential
33295455,34641487,93.627,residential
33295455,33368606,94.727,residential
33295462,33841666,110.415,tertiary
33295462,33295463,96.747,tertiary
33295463,33368579,87.301,tertiary
33295473,33295545,201.508,residential
33295473,34186979,97.32,residential
33295476,33295477,47.969,unclassified
33295477,34497281,200.648,residential
33295477,34396180,99.821,tertiary
33295477,33295524,82.632,tertiary
33295496,33520569,93.668,residential
33295496,33295564,201.365,residential
33295496,33295545,94.721,residential
33295524,34508569,183.182,tertiary
33295524,33295554,163.619,tertiary
33295545,33369511,201.681,residential
33295545,34183355,96.594,residential
33295554,34649380,153.03199999999998,residential
33295554,33368579,341.131,tertiary
33295564,33369521,62.094,secondary
33295564,33369511,95.754,secondary
33295564,33369692,112.557,tertiary
33295712,33295715,72.355,residential
33295712,34656774,335.12800000000004,tertiary
33295712,246008278,270.23400000000004,tertiary
33295715,33295803,102.016,residential
33295717,33295818,202.632,residential
33295717,34383428,201.519,residential
33295717,34572200,100.233,residential
33295717,34391094,100.569,residential
33295776,33368503,101.924,residential
33295776,34572200,100.93,residential
33295776,33368483,202.444,tertiary
33295776,34570507,201.62,tertiary
33295800,771681249,200.874,residential
33295800,34572200,202.433,residential
33295800,33368483,99.852,residential
33295800,33295818,101.002,residential
33295803,34191302,74.713,residential
33295803,411673287,120.665,residential
33295818,771681240,200.62,residential
33295818,34498910,99.949,residential
33295835,33391131,281.213,residential
33295835,33352143,100.26,residential
33295835,33295855,78.018,residential
33295848,33295849,94.701,residential
33295848,34161708,108.083,residential
33295848,33308481,367.352,residential
33295849,34397205,378.924,unclassified
33295849,34161708,312.719,unclassified
33295854,33309408,84.705,tertiary
33295854,34646150,101.112,residential
33295854,34570507,203.09,tertiary
33295854,33295855,169.485,residential
33295855,33387868,246.563,residential
33295882,1735900422,13.733,tertiary
33295882,1735900427,100.845,residential
33295882,771681249,101.143,primary
33295882,33368483,203.999,tertiary
33295882,33804899,112.562,primary
33295896,33295933,199.686,residential
33295896,33295903,395.79,residential
33295900,33296029,201.119,tertiary
33295900,33295901,201.442,tertiary
33295900,33295974,98.941,residential
33295900,34165600,101.706,residential
33295901,34639914,97.6,residential
33295901,33296011,102.407,residential
33295901,34498611,201.632,tertiary
33295903,33295904,200.874,residential
33295903,33371823,100.176,residential
33295904,33656656,200.652,residential
33295904,33295933,97.761,residential
33295904,33295994,99.592,residential
33295915,33372011,271.467,residential
33295915,34515370,47.887,tertiary
33295915,33372005,206.448,tertiary
33295922,33423708,199.397,residential
33295922,10145452963,48.97,residential
33295923,1319063248,109.473,residential
33295923,34574970,101.205,residential
33295923,33369359,23.19,residential
33295923,34515370,39.43,residential
33295933,33639358,200.513,residential
33295974,33296051,201.653,residential
33295974,34639914,200.208,residential
33295974,34642397,100.319,residential
33295994,33840503,200.841,residential
33295994,33371823,200.485,residential
33295994,33372018,99.932,residential
33296007,33297990,67.07,residential
33296007,34657566,98.497,residential
33296007,33747572,94.613,residential
33296007,33296008,207.44,residential
33296008,33372005,9.296,residential
33296008,34652756,254.222,residential
33296011,34165600,199.684,residential
33296011,33845144,202.557,residential
33296011,34180865,98.67,residential
33296029,33296051,99.053,residential
33296029,34559445,202.26,tertiary
33296029,33360453,101.692,residential
33296051,33373155,201.421,residential
33296051,33373861,98.951,residential
33296086,33370703,201.23,residential
33296086,34514424,97.605,residential
33296086,33371998,99.991,residential
33296086,33296147,201.702,residential
33296126,33371998,201.966,residential
33296126,33296147,99.53,residential
33296126,33372000,100.18,residential
33296126,33296181,201.11,residential
33296145,34392760,200.906,residential
33296145,33296181,100.138,tertiary
33296145,33296147,201.82,residential
33296145,34660730,99.464,tertiary
33296147,34664990,99.539,residential
33296181,34386653,201.833,residential
33296181,33371840,100.324,tertiary
33296345,33296357,201.171,residential
33296345,33363415,4.766,tertiary
33296345,33296589,100.269,tertiary
33296356,33809115,201.351,residential
33296356,33363406,201.042,residential
33296356,33296357,100.746,residential
33296356,34510950,98.965,residential
33296357,33296397,201.283,residential
33296357,33296377,100.471,residential
33296372,34508108,20.793,residential
33296372,33360727,466.115,residential
33296372,33368758,112.64,residential
33296377,33296390,200.885,residential
33296377,33296589,201.217,residential
33296377,33296541,100.458,residential
33296379,33296388,121.145,residential
33296379,33296562,109.861,residential
33296379,33320867,111.276,residential
33296388,33296539,109.416,tertiary
33296388,33732976,110.75,tertiary
33296389,34515641,261.81100000000004,residential
33296389,33549192,103.469,residential
33296389,33296392,128.406,residential
33296390,33726555,97.521,unclassified
33296390,33296397,101.335,secondary
33296390,33296552,99.649,secondary
33296392,34188281,15.587,tertiary
33296392,33630860,231.083,tertiary
33296397,33809115,100.632,secondary
33296422,33296435,54.804,tertiary
33296422,33296428,49.839,tertiary
33296422,34396899,60.114,tertiary
33296428,33363166,60.367,tertiary
33296428,34396899,50.653,tertiary
33296435,33549192,142.09900000000002,tertiary
33296435,33373897,207.385,residential
33296439,9175150015,219.265,tertiary
33296439,34572881,161.802,tertiary
33296439,34500484,122.998,residential
33296477,34178281,64.493,tertiary
33296477,33296489,118.232,residential
33296477,34186531,109.122,tertiary
33296489,33296562,109.899,residential
33296489,33296704,108.852,residential
33296489,33315224,139.56400000000002,residential
33296532,33296589,100.345,tertiary
33296532,33296541,201.9,residential
33296532,34536631,171.946,residential
33296532,246695142,99.686,tertiary
33296539,34178281,45.368,tertiary
33296539,33296562,121.148,residential
33296541,33296552,200.339,residential
33296541,33316885,100.733,residential
33296550,33363328,69.289,residential
33296550,34188281,99.807,residential
33296550,33296559,366.667,residential
33296552,33316896,100.206,secondary
33296559,33417366,154.56900000000002,residential
33296559,33363328,347.01399999999995,residential
33296559,33418823,110.538,residential
33296562,33320824,137.27200000000002,residential
33296589,33368844,88.76899999999999,residential
33296704,33320815,140.55700000000002,tertiary
33296704,34186531,120.035,tertiary
33296748,33842101,42.365,residential
33296748,34191320,269.426,tertiary
33296748,33296774,31.182,tertiary
33296758,33296841,108.867,residential
33296758,34373839,160.802,tertiary
33296758,33296847,202.586,tertiary
33296772,33296774,97.624,tertiary
33296772,33803162,125.247,tertiary
33296772,375397312,102.441,residential
33296773,33372492,112.823,unclassified
33296773,430572846,86.021,residential
