src,dst,weight,highway
0,1,34.064,footway
0,32993,8.913,footway
0,32991,10.621,footway
1,32989,3.101,footway
1,2,117.516,footway
2,5091,1.65,footway
2,3,50.059,footway
2,31266,33.783,footway
3,32986,7.756,footway
3,32992,13.800999999999998,footway
4,8,11.189,footway
4,5,32.239,footway
5,32809,0.972,footway
5,3966,41.718,footway
6,7,13.923,footway
6,32986,20.379,footway
6,32993,35.304,footway
8,19385,15.023,cycleway
8,11320,22.177,footway
8,30388,305.00600000000003,cycleway
9,11669,3.324,cycleway
9,19385,33.506,cycleway
9,11321,20.465,footway
9,32990,27.234,footway
10,11,13.732,service
10,11331,26.011,service
11,18912,23.551,service
11,32985,7.836,service
12,37428,6.638,tertiary
12,32985,113.763,service
12,10950,7.24,tertiary
13,30826,15.733,primary
13,30726,22.403,primary
13,38022,37.688,tertiary
14,2164,12.164,primary
14,5216,31.4,primary
14,33221,9.414,cycleway
14,36572,8.008,cycleway
15,5712,24.733,tertiary
15,4746,15.674,unclassified
15,5709,49.792,primary
15,30726,79.97200000000001,primary
16,1634,39.711,primary
16,17,8.871,primary
17,4307,207.978,tertiary
17,22682,48.59,primary
18,5702,42.472,primary
18,33155,48.32,primary
18,1487,72.63,primary
18,36896,77.359,primary
19,35783,18.406,residential
19,9570,19.144,primary
19,17944,14.605,primary
20,4685,22.393,primary
20,22722,31.966,residential
20,1465,80.276,primary
21,22543,5.234,primary
21,1464,40.35,primary
21,2268,59.476,residential
22,35255,10.827,primary
22,5700,58.367,primary
22,35258,10.872,residential
23,5645,28.439,primary
23,30774,6.246,tertiary
23,30860,11.329,primary
24,31994,2.125,primary
24,31993,1.683,primary
25,17862,12.549,unclassified
25,36468,12.833000000000002,primary
25,1012,13.842,primary
26,15524,17.354,primary
26,24680,31.661,primary
27,32183,44.81,tertiary
27,32180,43.254,tertiary
28,10112,7.139,primary
28,651,13.308,unclassified
28,3613,18.976,primary
29,12052,30.144,primary
29,1167,13.244,footway
29,25805,39.467,footway
29,403,39.823,primary
30,1201,24.642,primary
30,31,49.422,primary
30,23171,80.97099999999999,primary
31,7761,38.737,service
31,565,32.137,primary
32,33,136.627,residential
32,36896,12.613,primary
32,36897,10.468,primary
33,22722,10.975,residential
33,22721,19.549,residential
34,1122,21.002,primary
34,2156,25.498,primary
34,22758,26.731,primary
35,35993,10.404,residential
35,30727,16.355,primary
35,35992,16.05,primary
36,36470,4.259,primary
36,32792,26.193,primary
36,32791,24.933,footway
37,24166,68.73400000000001,primary
37,4693,52.233,primary
37,4709,22.087,primary
37,8688,69.855,primary
38,32857,45.678,primary
38,39,193.971,residential
38,8638,67.241,primary
39,19896,6.112,residential
39,4613,65.293,residential
40,11160,6.779,residential
40,4324,37.005,tertiary
40,5538,29.051,tertiary
41,8642,12.236,tertiary
41,6703,57.696,tertiary
41,5589,56.7,primary
41,9960,24.986,primary
42,37836,3.707,footway
42,1057,24.991,unclassified
42,33281,26.799,unclassified
43,32474,4.252,tertiary
43,32498,29.519,tertiary
44,32095,8.61,residential
44,15968,17.015,tertiary
44,36507,9.6,tertiary
45,15969,45.34,trunk
45,3129,21.041,trunk
46,25771,14.358,trunk
46,25774,27.567,trunk
47,48,39.943,trunk
47,620,62.197,trunk
48,12039,12.372,trunk
48,616,43.075,trunk
49,22604,16.238,primary
49,6521,15.414,primary
49,3601,11.376,primary
50,11893,10.246,primary
50,418,23.794,primary
50,11907,8.71,primary
50,14407,13.973,cycleway
51,936,76.25,trunk_link
51,2169,48.157,trunk
51,184,152.626,trunk
52,53,49.176,trunk
52,2214,111.796,trunk
53,54,94.988,trunk
53,172,215.67,trunk_link
54,16046,35.06,trunk
55,1916,249.515,trunk
55,11140,316.29900000000004,trunk
56,12636,245.919,trunk_link
56,457,174.978,trunk
56,1920,156.86700000000002,trunk
57,1913,117.624,trunk
57,231,58.419,trunk
57,488,49.211,trunk
58,1105,68.065,trunk
58,101,245.899,trunk
59,17725,17.417,trunk
59,197,97.892,trunk
59,4295,14.889,trunk
60,121,16.078,trunk
60,33086,10.672,residential
60,113,109.343,trunk
60,110,106.171,trunk
61,11923,67.745,primary
62,63,13.196,trunk
62,179,34.196,trunk
63,178,5.890000000000001,trunk
63,2098,25.424,trunk_link
64,10601,54.616,trunk
64,13047,63.129000000000005,trunk
64,791,31.113,trunk
65,37404,119.016,trunk
65,296,14.355,trunk_link
65,37406,123.406,trunk
66,33127,15.527,trunk
66,37397,8.833,path
66,37402,20.351,path
66,37404,140.577,trunk
67,74,46.203,trunk
67,14272,39.15,trunk
67,80,15.369,trunk
67,17998,16.529,trunk
68,81,16.445,trunk_link
68,31257,10.893,residential
68,7953,12.359,trunk
68,7949,12.49,trunk
69,82,15.603,trunk_link
69,16920,135.344,trunk
69,18009,109.164,trunk
70,2399,56.496,trunk
70,16921,70.973,trunk
71,84,8.689,tertiary
71,18050,16.842,tertiary
71,18044,13.978,trunk
71,18051,18.068,tertiary
71,18053,26.115,trunk
72,86,9.688,secondary
72,25754,11.57,secondary
72,12319,46.24,trunk
72,18071,14.665,trunk
72,25757,12.627,secondary
73,18050,224.852,tertiary
73,16727,36.506,secondary
73,9198,38.259,secondary
74,17995,7.271,trunk
74,78,15.521,trunk
74,17990,9.185,trunk
75,30707,72.11099999999999,tertiary
75,16717,116.97899999999998,trunk
75,30706,50.246,trunk
75,17395,46.423,tertiary
75,17394,50.848000000000006,tertiary
76,11230,8.88,trunk
76,7954,95.727,trunk
76,14272,33.077,trunk
77,7955,27.631,residential
77,3314,32.562,trunk
77,7954,62.807,trunk
78,80,41.629,trunk
78,17999,36.942,primary
78,17997,19.184,trunk
79,17997,96.228,trunk
79,18015,43.522,trunk
80,17996,6.993,trunk
80,17989,10.405,primary
81,18016,166.009,trunk
81,18012,18.031,trunk
82,18003,108.936,trunk
82,8214,76.50899999999999,service
82,33630,137.047,trunk
83,33630,110.742,trunk
83,2398,58.462,trunk
84,18038,10.013,tertiary
84,2398,80.93700000000001,trunk
84,18047,12.323,trunk
85,31763,45.214,service
85,18047,35.623,trunk
85,7496,35.903,trunk
86,18060,12.339,secondary
86,18079,20.031,trunk
86,2394,36.812000000000005,trunk
87,9502,13.707,trunk
87,9497,36.163,residential
87,8464,58.408,trunk
88,8478,52.155,trunk
88,17391,10.445,trunk
88,12437,18.481,footway
89,30676,33.098,trunk
89,30681,21.879,service
89,27558,51.242,trunk
90,37890,21.712,trunk
90,37884,28.148,tertiary
90,37891,47.309,trunk
91,37891,16.569,trunk
92,1029,26.737,trunk
92,3646,35.899,trunk
92,37885,20.275,secondary
93,13154,43.2,trunk
94,18553,88.149,service
94,29294,298.278,service
95,30172,3.626,trunk
95,226,39.64,trunk
95,28258,13.333,trunk
96,239,26.639,tertiary
96,24296,29.007,tertiary
96,97,26.99,tertiary
97,34686,10.859,tertiary
97,238,25.265,tertiary
98,6163,13.299,tertiary
98,24841,14.728,tertiary
98,6164,34.98,tertiary
99,503,71.003,primary
99,13905,15.854,residential
99,3934,16.491,primary
100,128,3.711,trunk
100,132,36.371,trunk
100,10321,14.128,trunk
101,185,220.378,trunk
102,2159,220.234,trunk
102,119,240.433,trunk
103,3944,109.41,residential
103,106,18.33,residential
103,107,19.141,residential
104,3944,62.561,residential
104,3921,51.373,residential
104,3923,73.85,residential
105,3927,145.551,residential
105,109,18.478,residential
105,200,15.508,residential
106,3913,128.936,residential
106,200,16.874000000000002,residential
107,33097,98.778,residential
107,19447,14.835,footway
107,108,31.889000000000003,residential
108,33087,114.659,residential
108,109,20.06,residential
109,3958,107.716,residential
110,4406,15.51,trunk_link
110,17727,14.878,trunk
111,12181,17.66,residential
111,12180,16.054,residential
111,12182,15.425,residential
112,3913,61.385,residential
