id,lon,lat,highway
0,-1.1884682,52.9540885,"[0, 0, 3]"
1,-1.1881545,52.9543296,"[0, 0, 3]"
2,-1.1871104,52.9537708,"[0, 0, 4]"
3,-1.1877893,52.9535827,"[0, 0, 3]"
4,-1.1870572,52.9522054,"[0, 0, 2]"
5,-1.1872131,52.9524797,"[0, 0, 3]"
6,-1.1880539,52.953779,"[0, 0, 3]"
7,-1.188217,52.9537014,"[0, 0, 1]"
8,-1.1870041,52.95211,"[0, 0, 4]"
9,-1.1863056,52.9522254,"[0, 0, 4]"
10,-1.1855991,52.9507329,"[0, 2, 0]"
11,-1.1855581,52.9506119,"[0, 3, 0]"
12,-1.1838207,52.9509283,"[2, 1, 0]"
13,-1.181721,52.9481798,"[3, 0, 0]"
14,-1.1848433,52.9471152,"[2, 0, 2]"
15,-1.1803312,52.9485427,"[3, 0, 1]"
16,-1.178758,52.9491385,"[2, 0, 0]"
17,-1.1786586,52.9491912,"[3, 0, 0]"
18,-1.1748219,52.9511336,"[4, 0, 0]"
19,-1.1734302,52.9516547,"[3, 0, 0]"
20,-1.1747738,52.9495856,"[3, 0, 0]"
21,-1.1741232,52.9478733,"[3, 0, 0]"
22,-1.1735352,52.9469157,"[3, 0, 0]"
23,-1.1680766,52.94677,"[3, 0, 0]"
24,-1.152182,52.9486255,"[2, 0, 0]"
25,-1.1501886,52.9488466,"[2, 0, 1]"
26,-1.1507324,52.9496409,"[2, 0, 0]"
27,-1.1463037,52.9500546,"[2, 0, 0]"
28,-1.1509993,52.9549528,"[2, 0, 1]"
29,-1.1546167,52.9545214,"[2, 0, 2]"
30,-1.1611693,52.9556968,"[3, 0, 0]"
31,-1.161902,52.9556973,"[2, 1, 0]"
32,-1.1759861,52.9507303,"[3, 0, 0]"
33,-1.1754119,52.9495513,"[3, 0, 0]"
34,-1.1872017,52.9457047,"[3, 0, 0]"
35,-1.1855558,52.9468954,"[3, 0, 0]"
36,-1.175203,52.9533054,"[2, 0, 1]"
37,-1.1756474,52.9556704,"[4, 0, 0]"
38,-1.1771325,52.9629101,"[3, 0, 0]"
39,-1.1799411,52.962485,"[3, 0, 0]"
40,-1.1786653,52.9600429,"[3, 0, 0]"
41,-1.1765343,52.9603607,"[4, 0, 0]"
42,-1.1496036,52.94862,"[0, 0, 3]"
43,-1.1447624,52.9491061,"[2, 0, 0]"
44,-1.141442,52.9498428,"[3, 0, 0]"
45,-1.1403766,52.949116,"[2, 0, 0]"
46,-1.1403668,52.9486297,"[2, 0, 0]"
47,-1.140067,52.9457552,"[2, 0, 0]"
48,-1.1400821,52.9461143,"[3, 0, 0]"
49,-1.1393761,52.9408391,"[3, 0, 0]"
50,-1.1387633,52.9402717,"[3, 0, 1]"
51,-1.185641,52.941592,"[3, 0, 0]"
52,-1.1793795,52.939618,"[2, 0, 0]"
