src,dst,weight,highway
0,29012,22.245,primary
0,29960,43.969,primary
1,9770,8.707,residential
1,29695,128.7,residential
1,8065,105.925,residential
1,40829,72.138,residential
2,4590,81.59300000000002,motorway
2,49246,14.756,motorway
3,4457,131.074,residential
3,7567,62.470000000000006,tertiary
3,8021,201.182,tertiary
3,4460,108.209,residential
4,8059,38.764,primary
4,5,73.15599999999999,primary
4,49746,13.041,trunk_link
5,49747,12.279,trunk_link
5,6,37.538,primary
6,4580,11.82,primary
6,51174,33.493,primary
7,4580,47.022,primary
7,28114,72.46100000000001,primary
7,51178,12.236,trunk_link
8,11977,25.501,primary
8,52102,4.891,tertiary
8,52101,8.394,primary
9,6783,61.002,motorway_link
9,2400,30.261,motorway_link
10,25209,26.827,secondary
10,25208,90.558,secondary
10,44606,7.618,residential
11,25219,15.309,secondary
11,25218,14.478,secondary
11,25217,14.892,primary
11,25220,12.087,primary
12,44605,8.927,residential
12,38654,6.061,secondary
12,44604,6.716,secondary
13,25031,13.625,tertiary
13,25030,16.124,residential
13,25039,13.823,tertiary
13,25035,12.881,secondary
13,25036,17.023,secondary
14,25034,9.939,secondary
14,22964,10.743,residential
14,25033,10.471,secondary
14,22967,14.152,residential
15,22966,8.937,residential
15,22968,10.762,secondary
15,22970,11.118,residential
15,22969,8.122,secondary
16,4376,88.60300000000001,residential
16,4285,123.919,secondary
16,4379,136.215,secondary
16,4482,31.819000000000003,residential
17,5834,98.847,residential
17,5495,27.071,secondary
17,4280,34.69,residential
17,4286,34.648,secondary
17,6603,133.00400000000002,tertiary
18,4282,89.38799999999999,tertiary
18,4233,46.524,secondary
18,23364,55.316,footway
18,53287,50.735,secondary
18,55743,71.816,tertiary
19,40432,5.858,secondary
19,40430,18.071,secondary
19,40429,13.114,residential
19,32133,8.738,tertiary
20,27480,22.182,secondary
20,50254,5.799,secondary
20,43171,11.185,secondary
20,29881,10.149,secondary
21,30121,18.352,secondary
21,44731,4.756,secondary
21,28411,12.253,secondary
21,28428,10.593,secondary
22,28447,8.466,residential
22,29884,7.295,secondary
22,65707,7.215,secondary
22,47543,7.532,residential
23,45606,7.525,secondary
23,32435,21.47,primary
23,6194,31.346,secondary
23,6195,24.717,primary
24,6871,138.183,tertiary
24,4622,60.870000000000005,secondary
