id,lon,lat,highway1,highway2,highway3,highway4,highway5
0,2.4107318,48.8635232,0,0,0,0,8
1,2.401373,48.8518516,0,0,0,4,2
2,2.4134092,48.8545629,1,2,0,0,0
3,2.4143516,48.8545241,1,2,0,0,0
4,2.414664,48.8542608,0,3,0,0,0
5,2.414572,48.8537522,1,2,0,0,0
6,2.4011476,48.8295444,0,1,0,1,0
7,2.3614982,48.8263456,0,0,4,0,1
8,2.3572633,48.826183,0,4,4,0,0
9,2.3552177,48.8260749,0,0,4,0,1
10,2.3503781,48.8258123,0,0,4,4,1
11,2.3465869,48.825757,0,0,4,0,2
12,2.3452101,48.8259416,0,0,4,0,4
13,2.3226525,48.8292991,0,0,2,0,2
14,2.319263,48.8305326,0,0,2,1,2
15,2.3141451,48.8318162,0,0,2,2,0
16,2.3092306,48.8335638,0,0,4,1,1
17,2.2964564,48.8372281,0,0,6,0,0
18,2.2919595,48.8392633,0,0,6,0,0
19,2.2855643,48.8421683,0,0,4,0,2
20,2.2769621,48.8460686,0,2,4,0,0
21,2.2737147,48.8474292,0,4,2,2,0
22,2.2699037,48.8482358,0,0,0,5,1
23,2.2622425,48.8479618,0,0,0,2,1
24,2.2597619,48.8479228,0,1,1,1,0
25,2.2585518,48.8479122,0,2,2,0,0
26,2.2618853,48.8530352,0,4,0,0,3
27,2.2646623,48.8573541,0,4,4,0,0
28,2.2629378,48.8578749,0,0,2,2,0
29,2.2559777,48.8583101,0,0,4,1,0
30,2.2325723,48.8637173,0,0,0,4,0
31,2.2383105,48.8622922,0,0,4,2,0
32,2.365556,48.8474791,0,3,2,0,0
33,2.3672854,48.8508902,0,0,2,0,1
34,2.3679961,48.848785,0,0,2,0,1
35,2.3507157,48.8385973,0,0,2,1,0
36,2.351,48.8380281,0,0,4,0,1
37,2.3543465,48.8332121,0,0,4,0,1
38,2.3567612,48.8331727,0,4,0,0,2
39,2.3592953,48.8365766,0,4,0,0,4
40,2.3519793,48.84166,0,0,4,0,1
41,2.3512679,48.8396902,0,0,4,0,1
42,2.3516349,48.8466037,0,0,4,4,0
43,2.363724,48.8266453,0,0,4,0,3
44,2.3512394,48.8471299,0,0,4,0,3
45,2.3505051,48.8480778,0,0,4,4,0
46,2.3482382,48.8523487,0,2,1,0,0
47,2.350692,48.8560629,0,3,1,0,1
48,2.351447,48.857491,0,0,2,1,0
49,2.3534869,48.8612278,0,0,2,0,1
50,2.3542782,48.8627221,0,0,2,0,1
51,2.3630587,48.8685611,0,2,0,0,1
52,2.3573832,48.8748138,0,5,1,0,0
53,2.3568082,48.8672969,0,0,0,0,3
54,2.3548458,48.8677102,0,0,2,0,1
55,2.3526101,48.8696795,0,4,0,0,1
56,2.3478935,48.8706821,0,4,0,1,0
57,2.3416094,48.871724,0,4,0,0,1
58,2.3559931,48.8763463,0,4,1,0,0
59,2.3540413,48.8785307,0,4,3,0,0
60,2.3523043,48.8804947,0,4,1,0,2
61,2.3400532,48.8719981,0,2,0,1,1
62,2.3382998,48.8722422,0,2,0,2,0
63,2.3333015,48.8729517,0,2,3,0,1
64,2.3313143,48.8742709,0,0,0,0,1
65,2.3327119,48.8742988,0,0,2,0,1
66,2.3311152,48.8761423,0,0,2,1,1
67,2.3494771,48.8838548,0,6,0,0,0
68,2.3479972,48.8884009,0,0,0,3,3
69,2.3275607,48.8836894,0,3,0,0,0
70,2.3295353,48.8846897,0,2,0,1,2
71,2.333377,48.8874889,0,0,0,4,2
72,2.3288341,48.8857811,0,0,0,0,3
73,2.3292793,48.8900456,0,0,0,0,4
74,2.3599615,48.8261632,0,0,8,0,0
75,2.3581254,48.8284768,0,0,4,0,1
76,2.3562364,48.8308507,0,2,3,0,0
77,2.3553095,48.8318207,0,2,1,0,0
78,2.3549228,48.8313748,0,3,0,0,0
79,2.3551038,48.8311129,0,3,0,0,0
