src,dst,weight,highway
0,8138,210.915,residential
0,2,132.806,residential
1,0,343.953,residential
1,5,85.78899999999999,residential
1,6,129.91,residential
2,6,331.71,residential
2,0,132.806,residential
3,11043,110.204,tertiary
3,13049,144.144,tertiary
3,12618,219.70800000000003,tertiary
4,11513,101.032,residential
4,17605,79.145,tertiary
4,17611,80.385,tertiary
5,9530,19.308,secondary
5,1,85.789,residential
6,1,129.91,residential
6,2,587.9369999999999,residential
7,8,261.186,residential
7,17,142.733,secondary
7,11,68.511,secondary
8,18,46.369,residential
8,7,261.186,residential
8,16,356.764,residential
9,18014,79.173,secondary
9,17616,91.296,residential
10,17616,76.386,residential
11,16,22.729,secondary
11,19,314.956,residential
11,7,68.511,secondary
12,13,100.937,residential
12,17613,233.002,residential
12,17615,68.089,residential
13,12,100.937,residential
14,19019,72.535,tertiary
15,4912,123.103,residential
15,5138,124.386,residential
15,4911,52.697,residential
16,11,22.729,secondary
16,8,356.764,residential
16,9307,76.313,secondary
17,19,108.953,residential
17,7,142.733,secondary
18,8,46.369,residential
19,17,108.953,residential
19,17610,75.5,residential
19,11,314.956,residential
20,17572,11.067,residential
20,42,8.322,residential
20,8697,167.297,residential
21,22,21.018,residential
21,14326,36.534,residential
21,34,88.974,tertiary
21,18451,345.919,tertiary
22,21,21.018,residential
22,33,41.272,residential
22,16566,112.99599999999998,residential
23,12517,77.97200000000001,residential
23,45,115.674,residential
24,19866,125.181,tertiary
24,14034,52.083000000000006,tertiary
25,15243,90.642,residential
25,26,35.115,residential
26,25,35.115,residential
27,28,47.924,tertiary
27,6444,240.51400000000004,tertiary
28,27,47.92400000000001,tertiary
28,15096,811.685,primary
29,18295,74.099,secondary
29,17948,74.43100000000001,secondary
30,31,124.617,residential
30,40,93.072,residential
30,39,97.234,residential
31,30,124.617,residential
31,17572,115.203,residential
31,39,78.73100000000001,residential
32,49,128.54299999999998,residential
32,5905,220.923,residential
33,22,41.272,residential
34,2747,406.721,tertiary
34,21,88.97400000000002,tertiary
35,19866,26.055,tertiary
35,36,160.60499999999996,tertiary
36,35,160.605,tertiary
36,44,37.721,secondary
36,37,145.61700000000002,secondary
37,36,145.61700000000002,secondary
37,17949,48.53,secondary
38,39,18.193,residential
39,38,18.193,residential
39,30,97.234,residential
39,31,78.731,residential
40,30,93.072,residential
41,15823,155.106,residential
41,17582,110.352,residential
41,17583,138.262,residential
42,20,8.322,residential
42,11005,243.444,residential
42,17572,55.247,residential
43,50,69.79400000000001,residential
43,44,248.61,secondary
