id,lon,lat,highway1,highway2,highway3,highway4,highway5
0,-122.6520921,45.4577495,0,0,0,0,5
1,-122.6476972,45.458,0,0,0,0,5
2,-122.6518511,45.456584,0,0,0,0,4
3,-122.6015211,45.4614378,0,0,0,6,0
4,-122.5965991,45.4614416,0,0,0,4,2
5,-122.646891,45.4584969,0,0,2,0,2
6,-122.6476159,45.4568549,0,0,0,0,4
7,-122.5686486,45.4598573,0,0,4,0,2
8,-122.5665449,45.4588535,0,0,0,0,6
9,-122.6299049,45.461499,0,0,2,0,2
10,-122.6320421,45.4615358,0,0,0,0,2
11,-122.5686394,45.4604734,0,0,4,0,2
12,-122.6254903,45.4601379,0,0,0,0,6
13,-122.6255033,45.4592302,0,0,0,0,2
14,-122.6413908,45.4586896,0,0,0,2,0
15,-122.6560155,45.4581602,0,0,0,0,6
16,-122.5686374,45.4606778,0,0,4,0,2
17,-122.5686606,45.4585737,0,0,2,0,2
18,-122.5665585,45.4584366,0,0,0,0,2
19,-122.5700568,45.4586053,0,0,0,0,6
20,-122.7757734,45.532957,0,0,0,0,6
21,-122.7649486,45.5320792,0,0,0,4,4
22,-122.7651168,45.5319314,0,0,0,0,6
23,-122.7441853,45.4692503,0,0,0,0,4
24,-122.744314,45.4656668,0,0,0,4,0
25,-122.7448209,45.4469694,0,0,0,0,4
26,-122.7447638,45.4472782,0,0,0,0,2
27,-122.7453347,45.5157347,0,0,0,4,0
28,-122.7458345,45.5159544,0,2,0,2,0
29,-122.7520989,45.4657185,0,0,4,0,0
30,-122.7764457,45.5314496,0,0,0,0,6
31,-122.7751608,45.5319433,0,0,0,0,6
32,-122.7447292,45.4581449,0,0,0,0,4
33,-122.7654468,45.5322197,0,0,0,0,2
34,-122.7653766,45.5327959,0,0,0,4,0
35,-122.7462532,45.4656793,0,0,0,4,0
36,-122.7482636,45.4657872,0,0,4,2,0
37,-122.7500956,45.4656967,0,0,4,0,0
38,-122.7750088,45.5312154,0,0,0,0,2
39,-122.7752393,45.5312418,0,0,0,0,6
40,-122.7775656,45.5312507,0,0,0,0,2
41,-122.7437021,45.4858481,0,0,0,0,6
42,-122.7758313,45.5330199,0,0,0,0,6
43,-122.7453697,45.4673173,0,0,4,0,2
44,-122.7479116,45.4660189,0,0,4,0,0
45,-122.7444032,45.4682281,0,0,0,0,2
46,-122.7779969,45.5322609,0,0,0,0,6
47,-122.7773682,45.5334446,0,0,0,0,2
48,-122.7435901,45.4573274,0,0,0,0,2
49,-122.744063,45.4573296,0,0,0,0,4
50,-122.7454138,45.466719,0,0,0,0,2
51,-122.7003876,45.4723711,0,0,0,0,2
52,-122.7025682,45.4724078,0,0,0,0,6
53,-122.7037203,45.4724295,0,0,0,0,6
54,-122.704701,45.472442,0,0,0,0,8
55,-122.7057101,45.472455,0,0,0,0,8
56,-122.7066825,45.4724572,0,0,0,0,8
57,-122.7077372,45.4724648,0,0,0,4,2
58,-122.7392784,45.4727737,0,0,0,0,2
59,-122.740507,45.472827,0,0,0,0,6
60,-122.7424049,45.4732807,0,0,0,0,8
61,-122.743011,45.473435,0,0,0,0,2
62,-122.6814857,45.472268,0,0,0,0,6
63,-122.6824791,45.4722809,0,0,0,0,8
64,-122.6829382,45.4722808,0,0,0,0,2
65,-122.7085853,45.4725028,0,0,0,0,8
66,-122.7094618,45.472519,0,0,0,0,8
67,-122.7102652,45.4725249,0,0,0,0,8
68,-122.7108879,45.472522,0,0,0,0,6
69,-122.7116107,45.472527,0,0,0,0,8
70,-122.7128704,45.4725439,0,0,0,4,4
71,-122.714189,45.472568,0,0,0,0,6
