src,dst,weight,highway
0,6267,135.271,motorway
1,6264,264.13,motorway_link
1,6503,670.49,motorway
1,6267,486.393,motorway
2,6514,57.705,motorway
2,17497,502.924,motorway
3,6517,168.354,motorway
3,229,285.44499999999994,motorway_link
3,6514,33.644,motorway
4,17498,35.907,motorway
4,6130,40.491,motorway
5,6,184.448,motorway
5,6136,533.006,motorway
6,7,644.672,motorway
6,6295,80.698,motorway_link
7,8,155.55800000000002,motorway
7,5962,186.146,motorway_link
8,17494,249.822,motorway_link
8,9,1151.8280000000002,motorway
9,10,281.973,motorway
9,6485,193.023,motorway_link
10,6113,277.31499999999994,motorway_link
10,6505,220.57,motorway
11,12,200.282,motorway
11,6505,28.988,motorway
12,17503,151.205,motorway
12,6123,108.478,motorway_link
13,14,180.585,motorway
13,6120,121.767,motorway
14,5920,200.04399999999995,motorway_link
14,7350,402.092,motorway
15,5912,461.5540000000001,motorway_link
15,16,641.751,motorway
15,16042,79.508,motorway
16,17,301.825,motorway
16,5911,493.264,motorway_link
17,18,979.52,motorway
18,6497,64.878,motorway
19,6202,51.492,motorway_link
19,6200,56.364,motorway
19,29532,173.469,motorway
20,6509,835.342,motorway
21,6526,660.8539999999999,motorway
21,6527,146.847,motorway
22,17334,402.987,motorway_link
22,28,146.673,motorway_link
22,6524,41.504,motorway
23,7368,41.23,motorway_link
23,4500,390.1470000000001,motorway_link
23,5972,167.41500000000002,motorway_link
24,10915,120.751,motorway_link
24,6183,49.519,motorway_link
25,17475,66.563,motorway
26,14653,39.029,motorway
26,6658,705.6210000000001,motorway
27,5974,43.341,motorway_link
27,5981,43.921,motorway_link
27,10913,21.93,motorway
28,5954,93.365,motorway_link
28,5958,174.98900000000003,motorway_link
29,5660,267.016,motorway_link
29,6013,54.698,motorway_link
30,31,30.75,residential
30,3521,43.763,residential
30,10430,136.027,residential
31,32,181.571,residential
31,10429,68.27799999999999,residential
32,33,120.749,residential
32,2607,119.283,tertiary
32,2971,389.057,residential
33,34,136.853,residential
33,5173,135.829,residential
34,35,122.474,residential
34,25888,105.625,residential
35,36,87.086,residential
35,976,516.1619999999999,residential
37,38,99.255,residential
37,530,112.502,residential
37,4691,439.13,residential
38,24492,75.405,residential
38,4691,372.451,residential
39,24492,49.988,residential
39,24490,153.168,residential
39,24488,295.753,residential
39,6288,407.9359999999999,residential
40,41,76.654,residential
41,42,78.664,residential
41,3964,228.516,residential
42,43,104.98,residential
42,1989,135.137,residential
42,1988,209.048,residential
43,8023,87.579,residential
43,5216,106.411,residential
44,24929,18.834,tertiary
44,24930,27.876,residential
44,2247,175.966,tertiary
45,24930,93.211,residential
46,47,168.843,residential
47,1995,64.64099999999999,residential
47,5389,194.006,residential
48,9518,13.04,footway
48,3221,50.976,primary
48,30503,88.979,residential
48,30218,7.399,primary
49,30509,6.967,residential
49,30511,8.91,residential
49,30508,4.631,residential
50,28345,7.027,secondary
50,17158,10.982,secondary
50,28344,10.039,primary
50,28346,6.849,primary
51,23185,35.432,residential
51,23311,45.777,primary
51,28345,102.968,secondary
51,17200,72.703,motorway_link
52,24579,23.168,residential
52,21664,25.724,residential
52,2688,133.533,residential
53,28404,4.757,residential
53,27971,6.667,service
53,27935,34.074,secondary
53,28402,3.247,secondary
54,55,97.788,residential
54,3712,49.823,residential
54,3711,80.726,residential
55,56,100.728,residential
55,890,51.121,residential
56,4408,51.418,residential
56,4407,79.433,residential
57,4673,52.283,residential
57,12259,21.367,residential
57,18767,131.837,residential
58,18767,8.615,residential
59,25503,105.655,residential
59,25477,41.755,residential
59,5052,201.184,residential
59,21497,26.548,service
60,25503,25.541,residential
60,21498,84.78399999999999,residential
61,62,71.082,residential
61,10470,36.872,residential
61,10468,99.378,residential
62,63,96.383,residential
62,10469,35.266,residential
62,3999,70.398,residential
64,65,230.727,residential
64,7747,140.537,residential
64,4668,119.664,residential
65,16367,6.446,residential
65,2470,44.558,residential
66,24338,198.231,residential
67,15748,50.288,residential
67,3899,29.384,primary
67,3898,66.393,primary
68,7820,47.634,residential
68,7821,49.58,residential
68,4918,96.708,residential
69,15759,104.894,residential
69,7820,110.886,residential
69,5642,40.602,residential
69,15751,52.68299999999999,residential
70,15759,56.451,residential
70,71,221.746,residential
70,4919,101.574,residential
71,17289,91.666,residential
71,4920,73.733,tertiary
71,17291,31.559,tertiary
72,73,72.373,residential
72,17289,37.134,residential
72,5233,203.91000000000005,residential
73,74,120.201,residential
73,2421,174.942,residential
74,24421,58.784,residential
74,75,54.542,residential
75,25577,26.578,residential
76,20255,74.897,residential
76,5235,100.094,residential
77,20258,47.766,residential
77,17888,18.936,service
78,79,68.164,residential
79,4264,106.068,residential
79,81,311.325,residential
79,80,125.069,residential
80,1992,92.698,residential
80,81,354.333,residential
81,82,95.072,residential
83,84,109.757,residential
83,3983,100.203,secondary
83,13943,8.0,secondary
84,16979,93.584,residential
84,4034,83.807,residential
84,5459,92.648,residential
85,5460,93.463,residential
85,13907,62.095,residential
85,4899,93.117,residential
85,22011,49.407,service
86,4543,129.725,residential
86,87,162.932,residential
86,8685,250.651,residential
86,4896,181.026,residential
87,88,145.261,residential
87,4715,125.183,residential
87,8684,221.629,residential
88,89,112.59,residential
88,6241,182.551,residential
89,6274,19.309,residential
89,8663,120.131,residential
90,6274,16.485,residential
90,1791,122.214,trunk
90,3389,174.305,trunk
91,8018,346.1449999999999,residential
91,6148,163.051,residential
91,25854,315.505,residential
91,8016,76.093,residential
92,30585,103.009,unclassified
92,19749,82.246,primary
92,6714,82.344,primary
92,14646,76.815,primary_link
93,19759,105.688,unclassified
93,25060,20.617,residential
93,32351,52.835,residential
94,13172,46.561,residential
94,4897,54.9,residential
94,3139,136.73199999999997,residential
95,96,120.558,residential
95,1753,91.423,residential
95,17288,33.415,residential
96,25408,12.266,residential
96,939,91.031,residential
97,16860,69.306,tertiary
97,7120,45.113,tertiary
97,7119,42.259,tertiary
98,18720,6.795,residential
98,18721,7.083,residential
99,22603,26.285,residential
99,27800,40.221,residential
99,27803,148.106,motorway_link
99,28904,37.953,residential
100,5903,116.574,motorway_link
100,1414,60.147,motorway_link
100,27802,70.97399999999999,motorway_link
101,3621,116.152,residential
101,23348,93.602,secondary
101,24968,151.256,secondary
102,103,50.503,service
102,366,149.458,residential
102,365,218.371,residential
103,1435,150.941,residential
103,365,231.133,residential
104,519,103.282,residential
104,10653,10.428,residential
104,7363,13.187,primary
104,804,91.12,primary
105,106,76.665,service
105,8661,8.346,service
105,8659,31.574,trunk
105,22999,16.597,trunk
106,107,100.05,service
106,110,186.647,service
107,108,97.616,service
107,110,90.422,service
108,109,89.037,service
109,110,98.82,service
111,4359,49.732,secondary
111,13833,22.268,secondary
111,8086,313.56800000000004,service
112,4359,21.289,secondary
112,8086,50.393,service
112,4360,109.248,secondary
113,114,45.302,residential
114,115,24.361,residential
115,8027,34.105,residential
116,670,155.976,tertiary
116,8027,89.702,residential
116,8638,77.735,tertiary
117,9965,14.142,primary
117,18850,204.059,primary
117,6633,11.767,primary
118,15569,17.796,service
118,15568,17.651,service
118,220,42.902,service
119,27530,143.224,service
119,216,69.696,service
119,217,222.908,service
120,27530,9.96,service
120,789,47.255,residential
120,215,69.692,residential
121,25322,20.412,primary
121,1345,130.571,residential
121,23990,53.842,primary
122,6123,36.659,motorway_link
122,9210,92.80299999999998,motorway_link
122,17199,39.78,motorway_link
123,148,29.256,primary
123,9209,18.067,primary
124,125,140.613,service
124,1527,48.436,residential
124,1526,48.803,residential
124,22950,99.215,service
125,126,48.963,service
125,11556,48.613,service
126,127,46.524,service
126,2951,49.725,residential
126,647,48.585,residential
127,223,51.945,service
127,222,36.02,service
128,8686,12.091,residential
128,15013,53.021,secondary
128,8687,94.956,secondary
129,17571,37.906,residential
129,6023,22.251,residential
129,14652,260.584,motorway_link
129,6192,258.997,motorway_link
130,2916,109.915,residential
130,2915,143.34,residential
130,3114,90.745,residential
131,2847,51.031,residential
132,208,90.408,service
132,27558,76.113,service
133,134,94.693,residential
133,17292,26.855,residential
133,4729,111.804,residential
133,2422,28.469,residential
134,17294,41.616,residential
134,2421,134.51,residential
135,5653,173.484,motorway_link
135,6247,158.421,motorway
135,17499,37.869,motorway
136,1986,32.696,tertiary
136,137,59.739,tertiary
136,5653,81.834,motorway_link
137,10760,75.291,secondary
137,5653,50.082,motorway_link
138,32704,4.021,service
138,32830,41.515,residential
138,20108,19.886,residential
139,140,131.44,service
139,32703,5.088,service
139,913,46.32,residential
139,4492,47.021,residential
140,141,102.559,service
140,4045,44.97,residential
140,912,47.764,residential
141,142,20.821,service
141,17666,47.245,service
141,17665,56.175,service
143,7349,585.6530000000001,motorway_link
143,6198,555.0210000000001,motorway
143,6515,630.751,motorway
144,19429,95.418,tertiary
144,10873,16.426,tertiary
144,17119,59.557,residential
145,5688,62.926,primary
145,12379,329.76000000000005,motorway_link
145,17529,67.32,primary
146,12381,36.944,primary
146,5665,319.93699999999995,motorway_link
146,301,40.606,primary
147,12382,120.097,primary
147,6249,49.347,motorway_link
147,10860,30.601,primary
148,6508,11.601,primary
149,6728,20.963,tertiary
149,11764,4.917,primary
149,11763,8.105,tertiary
149,2278,199.929,secondary
149,9242,30.657,motorway_link
149,11762,8.164,tertiary
150,30381,91.126,secondary
150,30062,117.423,tertiary
150,11767,5.663,tertiary
150,11768,63.345,secondary
151,152,76.444,residential
151,2501,123.024,residential
151,19233,28.197,residential
152,5401,75.891,residential
152,19232,29.6,residential
152,153,125.544,residential
153,2501,75.531,tertiary
153,2502,79.568,tertiary
153,10013,85.445,residential
154,19233,199.089,residential
154,5401,186.212,residential
154,19232,86.052,residential
155,23793,8.994,secondary
155,23792,12.664,trunk
155,23791,8.043,trunk
155,26423,15.863,secondary
156,24057,91.814,residential
156,1990,117.635,residential
156,18549,204.612,residential
157,5961,68.781,motorway_link
157,24725,136.38,residential
157,6751,39.167,residential
158,8169,11.299,residential
158,16018,57.265,residential
158,5791,289.363,primary
158,5620,94.596,primary
159,10863,15.437,service
159,10864,141.519,service
159,17122,20.664,service
159,2728,97.29,service
160,6145,23.386,primary
160,28298,150.439,primary_link
160,6144,230.979,primary
160,28295,173.082,primary_link
161,5953,486.55300000000005,motorway
161,5957,250.956,motorway_link
161,6122,514.393,motorway
162,6090,10.358,tertiary
162,30765,27.925,tertiary
162,183,46.073,motorway_link
163,20845,52.002,primary
163,6572,36.763000000000005,primary
164,18057,27.123,service
164,18923,19.497,primary
164,18056,65.385,primary
165,20575,26.626,residential
165,7144,125.58,trunk_link
165,1787,92.198,trunk
165,1788,96.673,trunk
166,6263,32.531,tertiary
166,11293,68.14,tertiary
166,1702,226.284,residential
166,6262,19.593,motorway_link
167,17483,591.916,motorway
167,7533,266.247,motorway_link
167,17486,272.058,motorway
168,13431,56.687,tertiary
168,7533,49.934,tertiary
168,8830,22.314,tertiary
168,17485,38.224,tertiary
169,170,67.19,service
169,172,74.745,service
169,171,47.351,service
171,280,118.045,residential
171,279,161.03,residential
172,18022,39.387,service
172,200,69.086,service
173,20064,90.261,residential
173,1135,90.365,residential
174,175,63.224,service
174,212,111.175,service
174,30853,79.39,service
175,176,57.24,service
175,213,136.679,service
176,177,58.631,service
176,180,160.731,service
177,17929,37.514,service
177,179,181.505,service
178,17929,18.602,service
178,181,197.045,service
179,181,37.388,service
179,180,63.755,service
180,213,63.542,service
182,2064,134.473,tertiary
182,11211,158.746,tertiary
182,5957,377.351,motorway_link
183,5953,357.629,motorway_link
183,19413,153.03300000000002,motorway_link
184,7593,57.588,residential
184,1397,61.286,residential
184,185,72.095,service
186,16701,164.05700000000002,motorway_link
186,5960,500.79800000000006,motorway
186,5660,268.599,motorway
187,6632,19.307,primary
187,20991,13.793,service
187,20995,71.542,primary
187,20990,9.9,residential
188,316,95.633,residential
188,22020,27.486,residential
188,31380,41.049,residential
188,31386,4.892,residential
189,190,48.929,service
189,1397,40.672,residential
189,193,55.877,residential
191,24499,68.426,service
191,195,258.284,tertiary
191,13676,80.744,tertiary
192,24501,57.92,service
193,194,41.195,service
193,1396,23.231,residential
195,26526,43.187,service
195,14864,58.795,tertiary
196,11494,66.322,service
197,11490,77.834,service
197,11493,18.488,service
197,11494,81.95700000000001,service
198,18316,45.631,service
198,27535,196.087,tertiary
198,3314,88.19500000000001,tertiary
199,3490,114.522,residential
199,3227,314.944,residential
199,3491,47.516,residential
201,202,56.817,service
201,283,30.717,residential
201,1136,32.778,residential
203,6224,11.501,residential
203,11828,95.086,primary
203,20318,49.283,residential
203,205,30.432,primary
204,5915,371.298,motorway
204,1017,380.137,motorway
204,5906,450.9509999999999,motorway_link
205,6231,12.984,primary_link
205,5712,147.134,primary_link
205,5715,52.073,primary
206,9320,34.599,primary
206,5861,62.975,primary
207,7116,11.271,primary_link
207,24865,6.706,primary
207,21724,11.904,primary
208,239,58.015,service
209,8027,20.149,residential
210,12447,123.196,primary
210,10880,29.153,primary
211,8658,8.437,service
211,8656,25.563,trunk
211,8659,51.018,trunk
212,213,63.418,service
214,1082,97.19,residential
214,4051,83.28,residential
215,15572,2.103,residential
215,27529,10.234,service
216,27529,142.552,service
216,218,222.973,service
217,8694,156.635,residential
217,789,23.002,residential
218,15572,70.267,residential
218,4498,87.587,residential
218,21582,69.86399999999999,service
219,220,50.904,service
220,221,52.752,service
220,789,30.753,service
223,224,98.113,service
223,2951,48.731,residential
224,1527,48.558,residential
224,225,85.85499999999999,service
225,2952,47.374,residential
226,18262,58.51200000000001,service
227,27558,34.368,service
227,11441,74.753,secondary
227,11419,60.63,secondary
228,10813,14.33,motorway_link
228,6714,51.959,primary
228,5655,34.963,motorway_link
228,5656,6.355,primary
229,5655,76.572,motorway_link
230,29221,107.047,residential
230,17995,10.477,residential
230,25430,34.389,residential
231,232,124.227,service
231,253,72.029,residential
231,21324,28.152,residential
233,21324,52.305,residential
233,8071,54.679,residential
233,25817,163.203,service
234,25817,5.401,service
235,4760,74.178,tertiary
235,236,36.458,tertiary
235,11419,151.882,service
236,11415,28.115,service
236,237,56.594,tertiary
237,6219,21.207,tertiary
237,3134,175.214,residential
238,6219,54.688,service
239,240,70.276,service
240,5484,34.513,service
241,242,57.959,service
241,6219,64.169,tertiary
241,243,63.216,tertiary
243,244,55.426,service
243,246,36.843,tertiary
245,10875,12.071,primary
245,17814,29.482000000000003,residential
245,10867,16.316,tertiary
245,17811,28.578,primary
246,247,69.835,tertiary
247,25682,52.936,tertiary
248,9933,16.559,motorway_link
248,21844,9.079,service
248,20974,255.852,tertiary
248,10759,83.745,secondary
249,250,54.605,residential
249,14811,30.844,residential
249,898,283.087,residential
249,8696,226.285,residential
251,252,117.148,service
251,21326,15.205,residential
251,28491,142.164,residential
253,254,113.571,service
253,21326,64.325,residential
255,17506,220.054,motorway_link
255,14654,299.753,motorway
255,17505,35.977999999999994,motorway
256,5687,93.349,primary
256,12377,437.003,motorway_link
256,300,27.858,primary
257,5222,18.454,motorway_link
257,6264,307.249,motorway_link
257,7375,220.961,motorway_link
258,20690,14.191,primary
258,9888,18.051,tertiary
258,20692,5.635,unclassified
258,20694,7.523,primary
259,20697,7.113,unclassified
259,20694,108.542,primary
259,9887,17.973,residential
259,20695,7.927,primary
260,17497,115.955,motorway
260,6026,58.273,motorway
261,16839,1.169,residential
261,22765,79.56899999999999,residential
262,16889,55.582,residential
262,16838,62.508,residential
262,4026,301.656,residential
262,16842,51.657,residential
263,5608,323.08900000000006,tertiary
263,24596,158.618,tertiary
263,24047,380.874,service
264,4275,37.227,residential
264,13182,58.607,residential
264,8109,151.547,service
265,24124,42.853,residential
265,4461,67.981,residential
265,8109,17.814,residential
266,3766,54.905,residential
266,11411,14.045,tertiary
266,2506,64.015,tertiary
267,2507,111.37,residential
267,19584,27.666,residential
267,19588,31.527,residential
268,6014,51.876,motorway
268,6518,120.191,motorway
268,7360,255.092,motorway_link
269,13359,24.707,secondary
269,7531,58.477,tertiary
269,7532,70.017,motorway_link
270,20181,45.998,primary
270,7534,73.794,primary
270,7535,80.881,motorway_link
271,17476,105.182,motorway
271,272,233.632,motorway_link
271,5985,230.486,motorway
272,20211,62.673,tertiary
272,20186,36.529,primary
272,20210,25.668,service
273,6188,66.351,motorway_link
273,6189,88.366,motorway_link
273,5223,45.682,motorway_link
274,11250,55.587,tertiary
274,1063,100.667,residential
274,14653,209.338,motorway_link
274,13381,52.822,secondary
275,15219,28.758,residential
275,14656,54.622,motorway_link
275,15218,37.495000000000005,tertiary
275,276,30.609,tertiary
276,14656,71.142,motorway_link
276,15245,63.907,primary
277,7328,58.411,tertiary
277,23286,43.189,tertiary
277,5958,53.764,tertiary
277,5287,94.451,tertiary
278,295,282.93100000000004,residential
278,2774,58.512,residential
279,2271,106.877,residential
279,3194,180.06,residential
280,1137,88.799,residential
280,281,71.008,residential
281,282,35.949,service
281,5448,79.848,residential
283,284,38.916,service
283,1396,42.112,residential
285,5164,17.799,residential
285,286,116.078,residential
285,4774,54.339,residential
287,23589,64.306,service
287,23065,10.325,service
287,23067,6.057,service
288,22250,18.593,service
288,24782,20.59,service
288,32858,109.416,primary
288,2658,32.406,primary
289,32856,12.392,service
289,19791,69.29,service
289,290,188.109,service
290,28896,88.958,service
290,8704,75.684,service
291,20452,61.006,secondary
291,27518,11.29,service
291,28896,42.06699999999999,service
291,8702,239.157,secondary
292,293,226.027,residential
292,27581,89.331,residential
292,298,152.64399999999998,residential
293,294,110.156,residential
293,2774,195.773,residential
294,295,55.382,residential
294,4365,67.197,residential
295,28466,153.32999999999998,residential
296,28469,7.356,residential
296,16750,12.961,residential
296,16749,79.644,tertiary
296,16752,266.087,tertiary
297,28469,296.084,residential
298,20572,103.861,residential
298,2774,107.562,residential
299,387,75.034,secondary
299,25984,131.602,secondary
299,5622,109.301,residential
300,12375,13.392,residential
300,2366,365.816,residential
300,10861,87.23,primary
301,5687,63.17,primary
302,1409,128.981,residential
