id,lon,lat,highway1,highway2,highway3,highway4,highway5
0,-77.4693712,37.5900619,3,0,0,0,0
1,-77.4660539,37.5779257,3,0,0,0,0
2,-77.4460117,37.5541386,3,0,0,0,0
3,-77.4398466,37.5511501,3,0,0,0,0
4,-77.4381309,37.5508271,3,0,0,0,0
5,-77.4283316,37.5444934,3,0,0,0,0
6,-77.4273187,37.5420881,3,0,0,0,0
7,-77.4278625,37.5382523,3,0,0,0,0
8,-77.4300087,37.5342318,3,0,0,0,0
9,-77.4280992,37.5237639,3,0,0,0,0
10,-77.4264436,37.5181441,3,0,0,0,0
11,-77.4280704,37.4687883,3,0,0,0,0
12,-77.42871,37.5507325,3,0,0,0,0
13,-77.4706717,37.5874972,3,0,0,0,0
14,-77.4741715,37.5837644,3,0,0,0,0
15,-77.4299809,37.5498896,3,0,0,0,0
16,-77.5793847,37.5511116,0,0,0,0,6
17,-77.5797327,37.5510928,0,0,0,0,6
18,-77.5817898,37.5510117,0,0,2,0,6
19,-77.5831524,37.5509012,0,0,0,0,6
20,-77.5846894,37.5507284,0,0,0,0,6
21,-77.5860492,37.5508246,0,0,0,0,6
22,-77.5867787,37.5503057,0,0,0,0,2
23,-77.5874652,37.5499529,0,0,0,0,6
24,-77.5883773,37.5494296,0,0,0,0,6
25,-77.5895575,37.5488002,0,0,0,0,8
26,-77.4942412,37.4733926,0,0,0,0,2
27,-77.4951,37.473493,0,0,0,0,6
28,-77.4959846,37.4735802,0,0,0,0,8
29,-77.4970539,37.4731665,0,0,0,0,6
30,-77.5681829,37.5417516,0,0,4,0,2
31,-77.5688314,37.5426609,0,0,0,0,2
32,-77.5836952,37.5391408,0,0,0,0,2
33,-77.5824116,37.5397935,0,0,0,0,6
34,-77.4358292,37.5387185,0,3,0,0,2
35,-77.4333367,37.5372217,0,0,0,0,5
36,-77.4312276,37.536184,0,2,4,0,0
37,-77.4301311,37.5357123,1,2,2,0,2
38,-77.5171649,37.5341599,0,0,0,0,6
39,-77.5189692,37.5379215,0,0,2,0,2
40,-77.4056299,37.5123653,0,0,0,0,6
41,-77.4045213,37.5123547,0,0,0,0,6
42,-77.4033793,37.5123515,0,0,0,0,6
43,-77.4998914,37.5529846,0,0,0,0,6
44,-77.5006735,37.5518894,0,0,0,0,2
45,-77.4294015,37.5705431,0,0,0,0,6
46,-77.4515463,37.5137457,0,0,0,0,6
47,-77.4521831,37.5133539,0,0,0,0,8
48,-77.4530386,37.5128146,0,0,0,0,2
49,-77.4968125,37.5583532,0,0,0,0,6
50,-77.498146,37.5565677,0,0,0,0,6
51,-77.4589798,37.4894264,0,0,0,0,2
52,-77.4123313,37.5523717,0,4,0,0,2
53,-77.4092137,37.5512892,0,0,0,0,6
54,-77.4074799,37.5509112,0,0,0,0,6
55,-77.4057284,37.5504903,0,0,0,0,6
56,-77.4033199,37.5499159,0,0,2,0,4
57,-77.4019217,37.5495799,0,0,0,0,6
58,-77.4011338,37.5493971,0,0,0,0,6
59,-77.3998267,37.5490895,0,0,0,0,6
60,-77.5139646,37.4769196,0,0,0,0,2
61,-77.4560813,37.4805979,0,0,0,0,2
62,-77.4553196,37.4807,0,0,0,0,8
63,-77.4542893,37.4804374,0,0,0,0,6
