src,dst,weight,highway
0,13937,22.611,secondary
1,40248,8.473,tertiary
1,46625,7.762,unclassified
1,42931,99.934,tertiary
2,19321,96.874,unclassified
2,46615,7.606,unclassified
2,42930,99.878,residential
3,42275,197.082,tertiary
3,5948,80.917,residential
4,6209,53.626000000000005,trunk_link
4,28704,103.301,trunk
4,37305,565.6560000000001,trunk
5,17630,14.285,secondary
5,37307,63.367,trunk
5,13952,11.638,service
5,13953,9.776,trunk
6,37308,51.318,trunk
6,37311,91.891,trunk
7,12513,12.26,trunk
7,43997,13.92,footway
7,18308,19.024,footway
7,12585,1263.466,trunk
8,12579,9.279,residential
8,24321,21.085,secondary
8,23556,19.252,trunk
8,6212,22.23,secondary
8,24308,12.554,trunk
9,6014,69.312,trunk
9,6018,14.991,secondary
9,35950,9.898,trunk
10,484,93.418,tertiary
10,11725,60.71,tertiary
10,11743,65.872,tertiary
11,5072,97.19,residential
11,11725,54.901,tertiary
11,1818,114.991,tertiary
12,4714,110.623,residential
12,6568,235.421,tertiary
12,7797,101.053,tertiary
13,2880,42.492,tertiary
14,7797,26.359,tertiary
14,7798,19.021,tertiary
14,3363,99.136,residential
15,16,173.746,residential
15,37225,29.033,residential
15,10049,48.492,residential
16,43383,73.382,residential
16,447,100.446,residential
16,10075,48.982,residential
17,28117,8.11,residential
17,34255,17.002,secondary
17,10622,51.529,secondary
18,19,50.963,residential
19,4018,93.747,residential
19,22617,57.402,residential
20,21,116.208,residential
20,3495,94.586,residential
20,11787,3.392,residential
21,22,112.263,residential
21,3496,95.739,residential
21,4705,94.326,residential
22,3497,94.28,residential
22,4195,94.18,residential
22,12705,104.62,residential
23,631,30.947,secondary
23,12707,48.623,secondary
23,12708,48.494,secondary
24,42718,36.254,residential
24,7189,30.919,tertiary
24,40583,223.851,tertiary
24,1806,69.682,tertiary
25,26,101.94,unclassified
25,38201,121.81600000000002,residential
26,32839,90.498,unclassified
26,28462,5.751,residential
26,31289,23.89,service
27,18365,9.372,unclassified
27,32838,4.021,unclassified
27,28463,6.853,residential
27,32836,10.001,residential
28,6175,5.382,unclassified
28,18365,87.022,unclassified
28,32859,7.617,residential
29,7325,483.079,motorway_link
29,118,295.29400000000004,motorway_link
29,8050,236.149,motorway_link
30,6176,23.117,unclassified
30,32855,8.239,residential
30,39069,17.747999999999998,unclassified
30,31,58.828,residential
31,36822,11.751,residential
31,40821,15.125,service
32,38334,42.765,residential
32,38426,25.909,tertiary
32,38327,38.537,tertiary
33,12788,11.787,residential
33,38323,87.702,residential
33,38320,78.734,residential
34,38076,27.287,residential
34,32856,6.993,secondary
34,32321,12.19,unclassified
34,3722,130.364,secondary
35,39172,110.993,residential
35,38055,196.217,unclassified
36,38204,52.234,residential
37,19321,64.372,unclassified
37,7036,155.11300000000003,unclassified
38,35879,20.104,residential
38,43491,9.496,residential
38,20994,26.33,tertiary
38,29703,186.644,tertiary
39,47278,13.043,residential
39,8580,63.805,residential
39,47171,191.528,tertiary
39,21052,30.398,tertiary
40,47280,191.298,residential
40,7999,145.087,residential
