id,lon,lat,highway1,highway2,highway3,highway4,highway5
0,-93.2077512,44.964614,0,0,4,2,0
1,-93.2077696,44.9628115,0,0,0,4,2
2,-93.2077857,44.9548386,0,0,2,0,2
3,-93.1571149,44.9031402,3,0,0,0,0
4,-93.145974,44.9096018,2,1,0,0,0
5,-93.0997509,44.9405339,2,2,0,0,2
6,-93.0864239,44.9454295,2,1,0,0,0
7,-93.0880349,44.9196993,0,0,6,0,0
8,-93.086567,44.9196747,0,0,4,0,2
9,-93.0976184,44.9196942,0,0,4,0,2
10,-93.0960618,44.9219055,0,0,0,0,4
11,-93.0960922,44.919818,0,0,4,0,2
12,-93.101486,44.978282,0,0,0,0,6
13,-93.1036949,44.9782889,0,0,0,0,8
14,-93.105914,44.978277,0,4,0,0,2
15,-93.1231552,44.9783396,0,0,0,0,2
16,-93.123803,44.978331,0,0,0,0,6
17,-93.0851182,44.9279895,0,0,0,0,6
18,-93.0836421,44.9279933,0,0,0,0,8
19,-93.0822161,44.9279933,0,0,0,0,8
20,-93.0807341,44.9274322,0,4,0,0,0
21,-93.0789257,44.9279961,0,0,5,0,2
22,-93.198855,44.9610476,0,0,0,2,2
23,-93.2001248,44.9610354,0,0,0,4,4
24,-93.2013497,44.9610431,0,0,0,4,1
25,-93.2014241,44.9606659,3,0,0,0,0
26,-93.2031237,44.9610405,0,0,0,4,4
27,-93.1873907,44.9572601,0,0,4,0,2
28,-93.1896486,44.9581398,0,0,0,0,6
29,-93.1912538,44.9587794,0,4,0,2,2
30,-93.1944816,44.9600843,0,0,0,4,2
31,-93.196067,44.9607248,0,0,0,4,2
32,-93.19756,44.961338,0,0,0,2,2
33,-93.2077703,44.9613614,0,0,0,4,0
34,-93.1899268,44.9413299,0,0,2,0,4
35,-93.189939,44.940115,0,0,4,0,4
36,-93.1899422,44.939029,0,0,0,0,8
37,-93.189932,44.937926,0,0,0,0,8
38,-93.18993,44.937029,0,0,0,0,8
39,-93.189927,44.936121,0,0,0,0,8
40,-93.189937,44.9352368,0,0,0,0,8
41,-93.189948,44.9343273,0,0,4,0,4
42,-93.1899429,44.9334241,0,0,0,0,8
43,-93.189939,44.9325184,0,0,0,0,8
44,-93.1899399,44.93161,0,0,0,0,8
45,-93.1899351,44.9306996,0,0,0,0,8
46,-93.1899304,44.9297906,0,0,0,0,8
47,-93.1899321,44.9288809,0,0,0,0,8
48,-93.1899311,44.9279743,0,0,0,0,8
49,-93.1899273,44.9270652,0,0,4,0,4
50,-93.1899318,44.9261582,0,0,0,0,8
51,-93.1899311,44.9252472,0,0,0,0,6
52,-93.189923,44.923422,0,0,0,0,6
53,-93.189925,44.922518,0,0,0,0,8
54,-93.189926,44.921615,0,0,0,0,8
55,-93.189927,44.920704,0,0,0,0,8
56,-93.1899261,44.9188865,0,0,0,0,6
57,-93.1896432,44.910597,0,0,0,0,6
58,-93.1896469,44.9088944,0,0,0,0,6
59,-93.0880638,44.9246806,0,0,4,0,4
60,-93.0881975,44.9347837,0,0,0,0,8
61,-93.010041,44.9421575,0,0,0,0,6
62,-93.006345,44.9421658,0,0,0,0,6
63,-93.1878875,44.9780602,0,0,0,0,4
64,-93.188028,44.9781603,0,4,0,0,2
65,-93.050748,44.972122,0,0,0,0,6
66,-93.1510321,44.9342028,2,0,4,0,0
67,-93.068955,44.927076,2,4,0,0,0
68,-93.040523,44.951472,3,0,0,0,0
69,-93.038096,44.95216,3,0,0,0,0
70,-93.033379,44.9519857,3,0,0,0,0
71,-93.193601,44.955914,4,0,0,0,0
72,-93.1348503,44.9516493,3,0,0,0,0
73,-93.1263298,44.951283,0,2,2,0,0
74,-93.073276,44.934741,2,0,1,0,0
75,-93.066903,44.921237,0,0,0,0,8
76,-93.066138,44.9203591,0,0,0,0,6
77,-93.0889713,44.987377,2,0,0,0,0
