src,dst,weight,highway
0,7723,11.101,primary
0,2,68.42,primary
0,3854,121.54,residential
1,9901,157.622,tertiary
2,0,68.42,primary
2,9457,99.94,primary
3,4437,110.973,residential
3,2730,130.208,primary
3,2729,116.308,primary
4,4142,132.12099999999998,residential
4,5861,114.962,residential
4,5,209.504,residential
4,9104,161.418,residential
5,4,209.504,residential
5,7780,137.07999999999998,residential
5,4143,130.685,residential
5,5862,115.82,residential
6,7780,10.681,residential
6,7,179.36399999999998,residential
6,1468,130.148,residential
7,4145,129.85,tertiary
7,5540,117.422,tertiary
7,8,210.836,residential
7,6,179.364,residential
8,3108,129.518,residential
8,3107,117.891,residential
8,9,148.90699999999998,residential
8,7,210.836,residential
9,10,132.4,residential
9,8,148.90699999999998,residential
9,4146,130.647,residential
9,5864,117.559,residential
10,8163,16.006,residential
10,9,132.39999999999998,residential
10,4148,144.046,tertiary
10,5865,127.764,tertiary
11,8163,170.932,residential
11,9065,184.844,residential
11,4032,133.44400000000002,trunk
11,4031,115.478,trunk
12,13,114.239,residential
12,9065,322.00800000000004,residential
12,1255,131.944,tertiary
12,1254,114.731,tertiary
13,235,121.03199999999998,residential
13,234,117.914,residential
13,14,112.994,residential
13,12,114.239,residential
14,235,135.02,tertiary
14,4165,44.478,tertiary
14,13,112.994,residential
15,16,136.103,residential
15,9553,350.16299999999995,residential
15,278,207.227,residential
16,17,100.032,residential
16,15,136.103,residential
16,278,342.592,residential
16,265,491.439,residential
17,16,100.032,residential
17,18,102.278,residential
17,766,464.951,residential
18,17,102.278,residential
18,20,96.868,residential
18,6383,554.1759999999999,residential
18,7875,492.9910000000001,residential
19,20,214.182,residential
19,3069,158.583,residential
19,2940,196.079,residential
20,1836,156.758,residential
20,19,214.182,residential
20,18,96.868,residential
20,1835,191.581,residential
21,22,49.372,residential
21,4861,278.21500000000003,residential
22,23,150.23999999999998,residential
22,21,49.372,residential
22,1042,185.68400000000003,residential
23,22,150.23999999999998,residential
23,1042,221.697,residential
23,24,74.033,residential
24,810,160.683,residential
24,809,77.728,residential
24,25,96.212,residential
24,23,74.033,residential
25,2148,264.37500000000006,residential
25,26,100.762,residential
26,7662,234.4,secondary
26,5558,161.48399999999998,secondary
26,4396,85.099,residential
27,5746,76.157,residential
27,28,202.7750000000001,residential
27,9025,80.22200000000001,residential
28,29,198.023,residential
28,27,202.775,residential
28,5398,76.515,residential
28,3732,73.828,residential
29,30,69.57199999999999,residential
29,28,198.023,residential
29,2335,76.392,residential
29,2334,29.630000000000003,residential
30,29,69.572,residential
30,2334,72.753,secondary
30,3733,149.252,secondary
31,32,99.721,residential
31,825,142.08499999999998,residential
31,7514,229.36300000000003,residential
32,5218,78.41,residential
32,8266,100.814,residential
32,31,99.721,residential
32,3735,136.95700000000002,residential
33,34,174.603,residential
33,3808,83.771,tertiary
33,3807,72.843,tertiary
34,33,174.60299999999998,residential
34,5954,55.217000000000006,residential
35,36,151.95,residential
35,5953,56.911,residential
36,35,151.95000000000002,residential
36,222,30.816,residential
36,221,14.292000000000002,residential
37,8251,23.782,tertiary
37,8785,25.438,primary
37,8252,211.121,primary
38,8356,175.019,primary
38,8785,80.772,primary
39,8514,152.92000000000002,residential
39,40,112.974,primary
39,6973,71.743,primary
40,41,156.118,primary
40,8513,154.778,residential
40,5417,125.641,tertiary
40,39,112.974,primary
41,40,156.118,primary
41,1321,82.033,residential
41,1736,89.224,residential
41,42,196.449,primary
42,4525,79.61099999999999,residential
42,6278,118.159,residential
42,43,114.26,primary
42,41,196.449,primary
43,6522,113.225,residential
43,3626,91.146,residential
43,44,133.798,primary
43,42,114.26,primary
44,4284,193.264,residential
44,6522,126.674,residential
44,45,50.011,primary
44,43,133.798,primary
45,6745,230.04,residential
45,6972,324.4550000000001,primary
45,44,50.011,primary
46,2306,73.02900000000001,primary
46,47,172.807,"['unclassified', 'residential']"
46,1031,267.162,primary
47,3387,126.483,residential
47,132,125.685,residential
47,48,108.372,residential
47,46,172.807,"['unclassified', 'residential']"
48,4234,156.24300000000002,tertiary
48,8809,140.276,tertiary
48,49,99.889,tertiary
48,47,108.372,residential
49,50,36.225,tertiary
49,763,37.346,primary_link
49,48,99.889,tertiary
50,49,36.225,tertiary
50,763,51.641,primary
50,7159,71.735,primary
51,4873,136.985,residential
52,560,91.34,residential
53,54,164.125,residential
53,7834,96.007,residential
53,2406,126.032,residential
53,3636,73.20599999999999,residential
54,53,164.125,residential
54,2406,155.167,residential
55,7656,82.75800000000001,residential
55,3584,93.283,secondary
55,977,93.864,secondary
56,10288,241.331,residential
56,6769,79.977,residential
56,6791,81.87899999999999,residential
57,10288,8.053,residential
57,852,114.563,secondary
58,59,76.818,residential
58,8216,97.018,residential
58,5614,109.962,residential
59,60,26.051,residential
59,58,76.818,residential
59,8216,128.324,residential
60,59,26.051,residential
60,1701,63.753,residential
60,10272,101.384,residential
61,10272,76.018,residential
61,68,858.702,residential
61,10273,154.071,tertiary
61,2774,124.685,tertiary
62,8400,39.586,residential
