id,lon,lat,highway1,highway2,highway3,highway4,highway5
0,-77.0981665,38.9510626,4,0,0,0,2
1,-77.017242,38.977333,0,0,2,0,0
2,-77.0976082,38.9514986,4,0,0,0,0
3,-77.009047,38.953452,4,0,0,0,2
4,-77.0135158,38.9533085,0,0,0,0,8
5,-77.0159372,38.9532448,0,0,0,0,8
6,-77.0176445,38.953198,0,0,0,0,6
7,-77.0197174,38.9531399,0,0,4,0,4
8,-77.022154,38.9530715,0,0,0,0,8
9,-77.0238746,38.9530172,0,0,0,0,8
10,-77.0254044,38.9529676,0,0,4,0,4
11,-77.0275645,38.9529006,4,0,0,0,4
12,-77.0334259,38.9529135,0,0,4,0,4
13,-77.034747,38.9529164,0,0,0,0,8
14,-77.0360537,38.9529193,0,0,4,0,2
15,-77.016607,38.84161,0,0,0,0,6
16,-77.0151,38.841263,0,0,0,0,8
17,-77.013992,38.841009,0,0,0,0,6
18,-77.01286,38.840747,0,0,0,0,8
19,-77.009416,38.839954,0,0,0,0,6
20,-77.011789,38.840496,0,0,0,0,8
21,-76.986565,38.919599,0,0,0,0,5
22,-76.986272,38.91998,0,0,0,0,7
23,-76.9853057,38.9210835,0,0,0,0,5
24,-76.984546,38.921373,0,0,0,0,7
25,-76.983805,38.922018,0,0,0,0,4
26,-76.9830385,38.9227003,0,4,0,0,3
27,-76.932224,38.888994,0,0,0,0,6
28,-76.929914,38.88869,0,0,0,0,8
29,-76.927659,38.888389,0,0,0,0,8
30,-76.926868,38.888339,0,4,0,0,3
31,-76.9223466,38.8876712,0,0,0,0,6
32,-76.9212233,38.8874825,0,0,0,0,8
33,-77.042718,38.985556,0,0,4,0,2
34,-77.044455,38.986305,0,0,0,0,4
35,-77.045333,38.986966,0,0,0,0,4
36,-77.046609,38.987906,0,0,0,0,6
37,-77.0083541,38.8338471,4,0,1,0,0
38,-77.0083736,38.8328949,4,0,1,0,0
39,-77.007675,38.830215,4,0,0,0,2
40,-77.007675,38.829199,4,0,2,0,2
41,-77.007675,38.827795,4,0,0,0,4
42,-77.007336,38.826063,4,0,0,0,3
43,-77.006747,38.825144,4,0,0,0,3
44,-77.006002,38.824091,4,0,0,0,3
45,-77.005631,38.823747,4,0,0,0,2
46,-77.0090656,38.8875904,4,0,0,0,0
47,-77.0090653,38.8860363,0,0,0,0,6
